country,country_id,unit_id,year,ets_coverage,treat_post,ets_country,emissions,gdp,log_gdp,log_gdp_2,n_na_years_within_unit,min_year_country_treat,max_year_country_treat,log_emissions
Austria,1,Austria_Regulated,1990,Regulated,0,0,30091.054451012962,240629000000,26.206522165226918,686.7818039965298,0,1990,2021,10.311983212247478
Austria,1,Austria_Unregulated,1990,Unregulated,0,0,43831.467119966466,240629000000,26.206522165226918,686.7818039965298,0,1990,2021,10.688107265815606
Austria,1,Austria_Regulated,1991,Regulated,0,0,30282.649659684183,248911000000,26.240361239799014,688.5565579951465,0,1990,2021,10.318330208996608
Austria,1,Austria_Unregulated,1991,Unregulated,0,0,40696.46633657981,248911000000,26.240361239799014,688.5565579951465,0,1990,2021,10.613896545464366
Austria,1,Austria_Regulated,1992,Regulated,0,0,18199.895688116572,254122000000,26.26108030361127,689.6443387127198,0,1990,2021,9.809171141626296
Austria,1,Austria_Unregulated,1992,Unregulated,0,0,36299.41451330836,254122000000,26.26108030361127,689.6443387127198,0,1990,2021,10.499556891012904
Austria,1,Austria_Regulated,1993,Regulated,0,0,19436.828180260785,255460000000,26.26633167856104,689.9201798481793,0,1990,2021,9.874924905250873
Austria,1,Austria_Unregulated,1993,Unregulated,0,0,33702.21141898148,255460000000,26.26633167856104,689.9201798481793,0,1990,2021,10.425318734928796
Austria,1,Austria_Regulated,1994,Regulated,0,0,17524.574626668655,261597000000,26.290070988573788,691.1678325842491,0,1990,2021,9.771359439235525
Austria,1,Austria_Unregulated,1994,Unregulated,0,0,30139.34937099256,261597000000,26.290070988573788,691.1678325842491,0,1990,2021,10.313586885052747
Austria,1,Austria_Regulated,1995,Regulated,0,0,17945.82993242788,268576000000,26.316399764846828,692.5528965832302,0,1990,2021,9.795113051184764
Austria,1,Austria_Unregulated,1995,Unregulated,0,0,29732.59879644852,268576000000,26.316399764846828,692.5528965832302,0,1990,2021,10.29999932543952
Austria,1,Austria_Regulated,1996,Regulated,0,0,17878.277385898753,274886000000,26.339622303210717,693.7757030757955,0,1990,2021,9.791341701015673
Austria,1,Austria_Unregulated,1996,Unregulated,0,0,26473.080127776608,274886000000,26.339622303210717,693.7757030757955,0,1990,2021,10.183883651420018
Austria,1,Austria_Regulated,1997,Regulated,0,0,19437.75613545872,280641000000,26.360342109407803,694.8676361250182,0,1990,2021,9.874972646221712
Austria,1,Austria_Unregulated,1997,Unregulated,0,0,21371.893128936932,280641000000,26.360342109407803,694.8676361250182,0,1990,2021,9.969831932547516
Austria,1,Austria_Regulated,1998,Regulated,0,0,16236.333254184858,290692000000,26.395530124352724,696.7240105456121,0,1990,2021,9.6950068033816
Austria,1,Austria_Unregulated,1998,Unregulated,0,0,19796.146854940584,290692000000,26.395530124352724,696.7240105456121,0,1990,2021,9.893242594459121
Austria,1,Austria_Regulated,1999,Regulated,0,0,15497.341422877196,301030000000,26.43047576450287,698.5700491379736,0,1990,2021,9.648423767091215
Austria,1,Austria_Unregulated,1999,Unregulated,0,0,18652.48145772216,301030000000,26.43047576450287,698.5700491379736,0,1990,2021,9.833734470254418
Austria,1,Austria_Regulated,2000,Regulated,0,0,15031.979885100522,311192000000,26.463675921979345,700.3261433035493,0,1990,2021,9.617935202953802
Austria,1,Austria_Unregulated,2000,Unregulated,0,0,16967.71652311276,311192000000,26.463675921979345,700.3261433035493,0,1990,2021,9.739067789546308
Austria,1,Austria_Regulated,2001,Regulated,0,0,16073.356178123819,315136000000,26.47627012862829,700.9928799240947,0,1990,2021,9.684918284351223
Austria,1,Austria_Unregulated,2001,Unregulated,0,0,16777.640508207453,315136000000,26.47627012862829,700.9928799240947,0,1990,2021,9.727802356797353
Austria,1,Austria_Regulated,2002,Regulated,0,0,16115.694071574117,320340000000,26.49264876868656,701.8604387809895,0,1990,2021,9.687548863230472
Austria,1,Austria_Unregulated,2002,Unregulated,0,0,15589.556543735172,320340000000,26.49264876868656,701.8604387809895,0,1990,2021,9.654356516729694
Austria,1,Austria_Regulated,2003,Regulated,0,0,16191.027732285604,323356000000,26.502019720411408,702.3570492610752,0,1990,2021,9.692212524106335
Austria,1,Austria_Unregulated,2003,Unregulated,0,0,15248.75956199172,323356000000,26.502019720411408,702.3570492610752,0,1990,2021,9.63225343853
Austria,1,Austria_Regulated,2004,Regulated,0,0,15282.790176468106,332200000000,26.529003034125605,703.7880019846456,0,1990,2021,9.634482649222578
Austria,1,Austria_Unregulated,2004,Unregulated,0,0,11745.106983916183,332200000000,26.529003034125605,703.7880019846456,0,1990,2021,9.371192005941793
Austria,1,Austria_Regulated,2005,Regulated,1,1,15214.103770639282,339655000000,26.551196233511728,704.9660214304474,0,1990,2021,9.629978156267473
Austria,1,Austria_Unregulated,2005,Unregulated,0,1,11225.36931608851,339655000000,26.551196233511728,704.9660214304474,0,1990,2021,9.32593161327978
Austria,1,Austria_Regulated,2006,Regulated,1,1,16021.057185632293,351387000000,26.585154017137448,706.7704141149194,0,1990,2021,9.681659210057502
Austria,1,Austria_Unregulated,2006,Unregulated,0,1,11211.36428704012,351387000000,26.585154017137448,706.7704141149194,0,1990,2021,9.324683211340796
Austria,1,Austria_Regulated,2007,Regulated,1,1,13986.600116371312,364485000000,26.62175123528497,708.7176388333969,0,1990,2021,9.545855015706731
Austria,1,Austria_Unregulated,2007,Unregulated,0,1,9958.980177584397,364485000000,26.62175123528497,708.7176388333969,0,1990,2021,9.20622995352745
Austria,1,Austria_Regulated,2008,Regulated,1,1,11205.872336095137,369808000000,26.636249788980745,709.4898028209768,0,1990,2021,9.324193235600504
Austria,1,Austria_Unregulated,2008,Unregulated,0,1,9671.556224313956,369808000000,26.636249788980745,709.4898028209768,0,1990,2021,9.176944508726894
Austria,1,Austria_Regulated,2009,Regulated,1,1,9404.734522322902,355886000000,26.597876291796457,707.447023233708,0,1990,2021,9.148968514045176
Austria,1,Austria_Unregulated,2009,Unregulated,0,1,5868.80373523512,355886000000,26.597876291796457,707.447023233708,0,1990,2021,8.677406099078254
Austria,1,Austria_Regulated,2010,Regulated,1,1,10623.752007683766,362424000000,26.616080634088007,708.4157483202747,0,1990,2021,9.270847528793523
Austria,1,Austria_Unregulated,2010,Unregulated,0,1,5937.632546881853,362424000000,26.616080634088007,708.4157483202747,0,1990,2021,8.689065771779092
Austria,1,Austria_Regulated,2011,Regulated,1,1,10330.32854571158,373017000000,26.644889831959162,709.9501541572407,0,1990,2021,9.242839366613877
Austria,1,Austria_Unregulated,2011,Unregulated,0,1,5433.675144714416,373017000000,26.644889831959162,709.9501541572407,0,1990,2021,8.600371006218127
Austria,1,Austria_Regulated,2012,Regulated,1,1,10003.63167107326,375555000000,26.651670768796222,710.311554768307,0,1990,2021,9.210703473154297
Austria,1,Austria_Unregulated,2012,Unregulated,0,1,5356.048064312267,375555000000,26.651670768796222,710.311554768307,0,1990,2021,8.58598168069019
Austria,1,Austria_Regulated,2013,Regulated,1,1,9949.383802609747,375651000000,26.65192635781048,710.3251785821531,0,1990,2021,9.20526589884898
Austria,1,Austria_Unregulated,2013,Unregulated,0,1,4942.7966081997565,375651000000,26.65192635781048,710.3251785821531,0,1990,2021,8.505686565019506
Austria,1,Austria_Regulated,2014,Regulated,1,1,10425.95380478722,378135000000,26.65851711166281,710.6765345928188,0,1990,2021,9.252053534547779
Austria,1,Austria_Unregulated,2014,Unregulated,0,1,4633.8172067610785,378135000000,26.65851711166281,710.6765345928188,0,1990,2021,8.441136258111817
Austria,1,Austria_Regulated,2015,Regulated,1,1,9974.045844825672,381971000000,26.668610526440837,711.214787410991,0,1990,2021,9.207741582528799
Austria,1,Austria_Unregulated,2015,Unregulated,0,1,4711.120078169243,381971000000,26.668610526440837,711.214787410991,0,1990,2021,8.457680967266999
Austria,1,Austria_Regulated,2016,Regulated,1,1,9432.261793198908,389570000000,26.688309403696593,712.26585882744,0,1990,2021,9.151891197684321
Austria,1,Austria_Unregulated,2016,Unregulated,0,1,4375.189391965034,389570000000,26.688309403696593,712.26585882744,0,1990,2021,8.383705087446755
Austria,1,Austria_Regulated,2017,Regulated,1,1,9062.568318485006,398369000000,26.710644548384423,713.4585321901385,0,1990,2021,9.111907837725964
Austria,1,Austria_Unregulated,2017,Unregulated,0,1,4250.848466508653,398369000000,26.710644548384423,713.4585321901385,0,1990,2021,8.35487388117172
Austria,1,Austria_Regulated,2018,Regulated,1,1,8492.624732512577,408031000000,26.734608988856365,714.7393177870396,0,1990,2021,9.046953387299572
Austria,1,Austria_Unregulated,2018,Unregulated,0,1,3683.034745248362,408031000000,26.734608988856365,714.7393177870396,0,1990,2021,8.21149235035342
Austria,1,Austria_Regulated,2019,Regulated,1,1,8122.605240993136,414222000000,26.74966789893484,715.5447327033052,0,1990,2021,9.00240622418362
