IPCC_annex,C_group_IM24_sh,Country_code_A3,Name,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_name,Substance,fossil_bio,Y_1970,Y_1971,Y_1972,Y_1973,Y_1974,Y_1975,Y_1976,Y_1977,Y_1978,Y_1979,Y_1980,Y_1981,Y_1982,Y_1983,Y_1984,Y_1985,Y_1986,Y_1987,Y_1988,Y_1989,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.1.a,Main Activity Electricity and Heat Production,NOx,bio,1.8813E-06,1.84436E-06,1.86773E-06,1.8519E-06,1.83456E-06,6.76536E-06,6.61918E-06,8.08417E-06,7.92757E-06,9.26347E-06,1.58621E-06,1.57283E-06,1.57716E-06,1.52989E-06,1.55499E-06,1.58686E-06,1.60396E-06,,,,5.00275E-05,5.22548E-05,4.81327E-05,4.98918E-05,4.54536E-05,4.73172E-05,5.21024E-05,5.33397E-05,7.37709E-05,0.000153849,9.75339E-05,0.000100625,0.000108796,0.000102175,0.000122503,9.60632E-05,9.57292E-05,0.000099273,9.47181E-05,9.20156E-05,0.000104133,7.44022E-05,7.76932E-05,0.000083802,0.000118054,0.000162792,0.000158014,0.000137372,0.000137372
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.2,Manufacturing Industries and Construction,NOx,bio,0.000974565,0.000955429,0.000785211,0.000763885,0.000817414,0.000718693,0.000723696,0.000642474,0.00071233,0.00069192,0.000655269,0.000634456,0.000641822,0.000565472,0.000553297,0.000565898,0.000614852,0.0005273,0.000456496,0.000432898,0.000308533,0.000346331,0.000392057,0.000402491,0.0003915,0.000394697,0.000421422,0.000421329,0.000396313,0.000382227,0.000408901,0.000421861,0.000480671,0.0004624,0.000511356,0.000450787,0.000453848,0.000440207,0.000423226,0.000408964,0.000392713,0.000445801,0.00038594,0.000323353,0.000316354,0.000312791,0.000310843,0.000320294,0.000320294
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.4,Residential and other sectors,NOx,bio,1.57519E-05,1.54426E-05,1.56382E-05,1.53931E-05,1.53605E-05,1.49193E-05,1.47996E-05,1.41925E-05,1.40085E-05,1.36294E-05,1.50641E-05,1.50326E-05,1.5256E-05,1.49848E-05,1.58731E-05,1.65744E-05,1.70356E-05,1.46027E-05,1.43237E-05,1.52124E-05,6.42845E-05,2.88491E-05,2.83515E-05,3.32524E-05,3.27053E-05,3.28368E-05,3.30185E-05,3.32613E-05,3.61204E-05,3.71619E-05,2.60108E-05,2.64552E-05,2.70077E-05,2.76976E-05,2.81631E-05,2.86923E-05,2.85934E-05,2.90013E-05,2.99572E-05,2.93343E-05,2.80948E-05,1.95067E-05,1.86409E-05,1.70491E-05,2.02095E-05,2.02284E-05,1.89268E-05,1.94443E-05,1.94443E-05
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.5,Non-Specified,NOx,bio,4.42199E-06,4.21099E-06,4.26885E-06,4.29086E-06,4.17622E-06,4.02748E-06,3.76184E-06,3.57845E-06,3.44957E-06,3.2704E-06,3.14311E-06,3.1246E-06,3.09987E-06,2.96498E-06,5.41518E-06,5.52075E-06,5.40891E-06,5.15702E-06,4.80045E-06,4.56448E-06,4.92426E-06,4.82326E-06,4.16262E-06,4.10696E-06,6.20989E-06,6.09565E-06,0.000006055,5.78965E-06,1.67042E-05,1.81885E-05,1.95581E-05,3.48437E-05,3.60368E-05,4.37645E-05,2.83606E-05,0.000028564,0.000030326,4.65306E-05,0.000019574,5.61789E-05,5.35472E-05,2.14358E-05,2.22592E-05,2.84962E-05,3.57885E-05,0.000057869,4.04755E-05,3.99925E-05,3.99925E-05
Non-Annex_I,Rest Central America,ABW,Aruba,1.B.1,Solid Fuels,NOx,bio,1.70392E-06,1.61219E-06,1.64003E-06,1.61296E-06,1.56207E-06,1.50109E-06,1.71386E-06,1.62385E-06,1.55962E-06,1.71947E-06,1.17122E-06,1.16517E-06,1.15323E-06,1.09706E-06,1.32485E-06,1.35078E-06,1.34514E-06,1.08541E-06,1.2116E-06,1.14924E-06,1.66212E-06,1.83048E-06,1.21224E-06,1.4083E-06,1.55891E-06,1.52879E-06,1.51911E-06,1.77659E-06,1.86776E-06,1.70768E-06,1.99698E-06,6.14071E-06,7.29099E-06,7.67577E-06,2.50822E-06,2.74992E-06,2.84696E-06,2.93187E-06,2.9742E-06,3.17749E-06,3.37378E-06,1.39752E-06,1.41793E-06,3.26093E-06,5.10513E-06,5.7581E-06,5.98883E-06,6.21615E-06,7.07481E-06
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.1.a,Main Activity Electricity and Heat Production,NOx,fossil,0.11361408,0.11361408,0.11173388,0.12886929,0.11274221,0.12938444,0.1436001,0.14656117,0.1716601,0.1477459,0.15295045,0.13600523,0.1284861,0.1299171,0.14146911,0.14608093,0.14873523,0.14732542,0.5768012,0.61521907,0.66770439,0.79881679,0.93884935,0.9316245,1.01125705,1.28034057,0.83075818,1.56012403,1.50260902,1.1867462,1.424136,1.480117,1.523722,1.877909,1.999853,2.10373,2.031314,2.052016,1.997216,2.109834,2.28883736,1.87738944,2.38448146,2.32706914,2.28864823,2.355922,2.231714,1.414375,1.3735209
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.2,Manufacturing Industries and Construction,NOx,fossil,0.001553135,0.001553135,0.001803877,0.001304444,0.001555186,0.001621757,0.001861524,0.00201113,0.002090396,0.002636036,0.002413029,0.002726108,0.002153383,0.003079581,0.003398634,0.004357915,0.006429511,0.016311445,0.05765343,0.07034701,0.06171526,0.06853559,0.0731793,0.18399633,0.19705453,0.09054104,0.057168425,0.07935732,0.16621057,0.16496996,0.17263246,0.15767163,0.16260872,0.1700851,0.20268406,0.15803697,0.14656913,0.14263215,0.12473145,0.12756454,0.109229767,0.125069111,0.240421393,0.27237674,0.250232317,0.22439199,0.182522308,0.180591139,0.175374682
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.3.a,Civil Aviation,NOx,fossil,0.005058571,0.00507925,0.000666426,0.003355012,0.003199191,0.003637194,0.003389975,0.00425676,0.003931399,0.003000543,0.003012375,0.003898343,0.004426438,0.004090922,0.004615902,0.007260082,0.006681458,0.008030007,0.0266592,0.04106211,0.04435529,0.05165248,0.05781898,0.05325843,0.0590253,0.06576517,0.04339728,0.0664843,0.04911228,0.05067669,0.023183009,0.023424638,0.020814528,0.027635812,0.036826093,0.04091731,0.041409024,0.04108567,0.042062409,0.040341541,0.026848621,0.03224663,0.038724895,0.036857303,0.037575116,0.03821974,0.036966433,0.036560225,0.035504021
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.3.b_noRES,Road Transportation no resuspension,NOx,fossil,0.027936092,0.027867875,0.028245997,0.03177441,0.036393105,0.053081057,0.055043598,0.0576783,0.059907393,0.050494086,0.08924835,0.090237719,0.100819133,0.119954449,0.134611296,0.126278554,0.121394174,0.153169743,0.59454924,0.76674916,0.77872695,0.94176333,1.10848446,1.04777674,1.18099982,1.299061216,0.852074508,1.450371923,2.063038583,2.280949292,2.691170166,2.73624728,2.394733595,2.851321704,3.136903267,3.308490436,2.832015301,2.793761461,2.516214073,2.916348079,2.781182512,2.061750232,2.881601733,2.866188958,2.911205774,2.781443699,2.638869284,2.58379509,2.585638156
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.3.d,Water-borne Navigation,NOx,fossil,,,,,,,,,,,0.000526202,0.000515904,0.000547788,0.000722506,0.000753262,0.000740532,,,0.0029476,0.00352667,0.00352396,,,,,0.00473965,0.0031276,0.00474741,0.00452335,0.05012577,0.05914094,0.05975727,0.06588809,0.07050015,0.07211109,0.0496785,0.06185193,0.05881893,0.05557329,0.05775386,0.04212222,0.04099495,0.04788904,0.04685666,0.06375421,0.05671824,0.06101199,0.06044313,0.05869721
