IPCC_annex,C_group_IM24_sh,Country_code_A3,Name,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_name,Substance,fossil_bio,Y_1970,Y_1971,Y_1972,Y_1973,Y_1974,Y_1975,Y_1976,Y_1977,Y_1978,Y_1979,Y_1980,Y_1981,Y_1982,Y_1983,Y_1984,Y_1985,Y_1986,Y_1987,Y_1988,Y_1989,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.1.a,Main Activity Electricity and Heat Production,PM2.5,bio,7.53413E-07,7.3862E-07,7.47975E-07,7.41637E-07,7.34694E-07,2.70935E-06,2.65081E-06,3.2375E-06,3.17478E-06,3.70978E-06,6.35236E-07,6.29879E-07,6.3161E-07,6.12682E-07,6.22733E-07,6.35495E-07,6.42344E-07,,,,2.00347E-05,2.09267E-05,1.92759E-05,1.99804E-05,0.000018203,1.89493E-05,2.08657E-05,2.13612E-05,2.95433E-05,6.16127E-05,3.90598E-05,4.02976E-05,4.35698E-05,4.09185E-05,4.90591E-05,3.84708E-05,3.83371E-05,3.97562E-05,3.79321E-05,3.68499E-05,4.17027E-05,2.97961E-05,3.11141E-05,3.35605E-05,4.72777E-05,6.51938E-05,6.32804E-05,5.50141E-05,5.50141E-05
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.2,Manufacturing Industries and Construction,PM2.5,bio,0.00153344,0.0014876,0.00120964,0.00116422,0.00123234,0.00107168,0.00106722,0.000936868,0.00102701,0.000986188,0.000923163,0.000883396,0.000883085,0.000768725,0.000743066,0.000750672,0.000805488,0.000682109,0.000583004,0.000545739,0.000383876,0.000425204,0.000474889,0.000480901,0.000461323,0.000458592,0.000482706,0.000475664,0.000440897,0.000418933,0.000441438,0.000448484,0.000503092,0.000476356,0.000518372,0.00044955,0.000445131,0.000424505,0.000401162,0.000387644,0.00037224,0.00042256,0.00036582,0.000306496,0.000299862,0.000296484,0.000294638,0.000303596,0.000303596
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.4,Residential and other sectors,PM2.5,bio,0.000110263,0.000108098,0.000109467,0.000107752,0.000107523,0.000104434,0.000103597,9.93475E-05,9.80591E-05,9.54055E-05,0.000105449,0.000105228,0.000106792,0.000104893,0.000111111,0.00011602,0.000119249,0.000102219,0.000100266,0.000106487,0.000449991,0.000201944,0.00019846,0.000232767,0.000228937,0.000229859,0.000231129,0.000232829,0.000252843,0.000260133,0.000182075,0.000185186,0.000189054,0.000193883,0.000197142,0.000200846,0.000200154,0.000203009,0.0002097,0.00020534,0.000196664,0.000136547,0.000130486,0.000119344,0.000141466,0.000141598,0.000132488,0.00013611,0.00013611
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.5,Non-Specified,PM2.5,bio,1.0172E-05,9.79163E-06,9.92225E-06,1.04844E-05,1.02779E-05,9.97066E-06,8.96288E-06,8.57477E-06,8.32203E-06,7.94899E-06,7.72517E-06,7.67162E-06,7.64426E-06,7.35411E-06,1.09679E-05,1.11848E-05,1.05157E-05,9.58709E-06,8.96445E-06,8.57568E-06,9.06032E-06,8.91093E-06,7.91223E-06,7.82391E-06,1.08384E-05,1.06707E-05,1.06078E-05,1.01918E-05,8.5155E-05,0.00008849,0.000095464,0.000121928,0.000125964,0.000139083,0.000131609,0.000131613,0.000134804,0.000160017,4.51597E-05,0.000173986,0.000165294,0.000122882,0.000126815,0.000135424,0.000151088,0.00018592,0.000163832,0.000166292,0.000166292
Non-Annex_I,Rest Central America,ABW,Aruba,1.B.1,Solid Fuels,PM2.5,bio,7.15646E-05,6.71477E-05,6.77332E-05,6.60507E-05,0.00006342,6.04189E-05,0.000068383,6.42233E-05,6.11371E-05,6.68014E-05,0.000045092,4.44512E-05,4.35921E-05,4.10849E-05,4.91519E-05,4.96412E-05,4.89631E-05,0.000039129,4.32541E-05,4.06256E-05,5.81742E-05,6.40668E-05,4.24284E-05,4.92905E-05,5.45619E-05,5.35076E-05,5.31688E-05,6.21807E-05,6.53716E-05,5.97688E-05,6.98943E-05,0.000214925,0.000255185,0.000268652,8.77877E-05,9.62472E-05,9.96436E-05,0.000102615,0.000104097,0.000111212,0.000118082,4.89132E-05,4.96276E-05,0.000114133,0.00017868,0.000201534,0.000209609,0.000217565,0.000247618
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.1.a,Main Activity Electricity and Heat Production,PM2.5,fossil,0.003655981,0.003655981,0.003599802,0.00406033,0.003633872,0.004504872,0.004839449,0.005006669,0.005959546,0.005190344,0.005183945,0.004840493,0.004766026,0.004799687,0.005272973,0.005420437,0.005326971,0.005504203,0.021181046,0.023445259,0.025187885,0.031181979,0.036782428,0.029908719,0.032806124,0.041188713,0.027194835,0.039936311,0.040733399,0.035267738,0.042356482,0.044208859,0.045408894,0.056065944,0.059451973,0.063865846,0.06162298,0.062505609,0.060565579,0.063958618,0.066603913,0.055748111,0.068629096,0.066861749,0.066501017,0.068336965,0.064573132,0.039036101,0.03790855
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.2,Manufacturing Industries and Construction,PM2.5,fossil,0.000192851,0.000191408,0.000207435,0.000199554,0.000215235,0.000257004,0.000271168,0.000268252,0.000281409,0.00028457,0.000365296,0.000423039,0.000339899,0.000461477,0.000475378,0.00044168,0.000711958,0.002530633,0.008848434,0.010465654,0.009136671,0.010034081,0.01028753,0.028708389,0.030498202,0.014016716,0.008739129,0.011571055,0.025461245,0.025013513,0.027126722,0.024503463,0.025037385,0.025888508,0.030625978,0.023504619,0.021562704,0.020783461,0.01795952,0.018360545,0.011211444,0.011725978,0.025830463,0.029204848,0.026281743,0.025210239,0.023651447,0.023395683,0.022719843
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.3.a,Civil Aviation,PM2.5,fossil,0.000102934,0.000102875,1.34354E-05,6.73269E-05,6.39051E-05,7.23218E-05,6.70987E-05,8.38724E-05,7.7111E-05,5.85873E-05,5.85537E-05,0.000075435,8.52713E-05,7.84568E-05,8.81321E-05,0.000138004,0.000126445,0.000151298,0.000500102,0.000766923,0.000824821,0.000956353,0.001065892,0.000977585,0.001078782,0.001196812,0.000789753,0.001209899,0.000893757,0.000922227,0.000421891,0.000426287,0.000378788,0.000502923,0.000670172,0.000744624,0.000753573,0.000747686,0.000765463,0.000734146,0.000488599,0.000586832,0.000704724,0.000670738,0.000683803,0.000695532,0.000672726,0.000665332,0.000646113
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.3.b_noRES,Road Transportation no resuspension,PM2.5,fossil,0.000662701,0.000670624,0.000715229,0.000684624,0.001002309,0.001052419,0.001133197,0.001008795,0.001201612,0.001301076,0.001760614,0.001699455,0.001633151,0.002062526,0.001497454,0.00136926,0.001826121,0.002589053,0.010819243,0.015090124,0.013730404,0.018213325,0.020153507,0.020160133,0.022207251,0.023192929,0.014815181,0.024932762,0.047910163,0.054152052,0.06569182,0.067331927,0.059523366,0.073246428,0.088931963,0.087682645,0.084368586,0.091956666,0.087696496,0.09399613,0.101302262,0.053707252,0.096043256,0.093863088,0.093435862,0.096057722,0.078541687,0.076361156,0.077608076
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.3.b_RES,Road Transportation resuspension,PM2.5,fossil,0.000163656,0.000163875,0.000165097,0.000186188,0.000207918,0.000311121,0.00034336,0.000364554,0.000364098,0.000310242,0.000556831,0.00056381,0.00060392,0.000722045,0.000830816,0.000782097,0.00073704,0.000922992,0.003587778,0.004897212,0.005102295,0.005805595,0.006632131,0.006314803,0.00720231,0.00811121,0.005467622,0.009544855,0.013575054,0.015352748,0.019037256,0.019872539,0.018046401,0.021591184,0.022199422,0.024835626,0.02369757,0.023594697,0.022089739,0.024586815,0.023301633,0.019041052,0.025044545,0.025280847,0.026039452,0.025317581,0.023481929,0.02310648,0.023719463
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.3.d,Water-borne Navigation,PM2.5,fossil,,,,,,,,,,,0.000739314,0.000724845,0.000769642,0.00101512,0.00105833,0.00104045,,,0.000578858,0.000692577,0.000692045,,,,,0.000930783,0.000614205,0.000932307,0.000888307,0.009843818,0.011614275,0.011735312,0.01293924,0.01384502,0.01416138,0.00975599,0.01214662,0.011551,0.01091362,0.01134182,0.0110262,0.0080507,0.00940456,0.00920182,0.01252019,0.01113846,0.01198168,0.01186999,0.01152713
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.3.e,Other Transportation,PM2.5,fossil,,,,,,,,,,1.74787E-05,1.74787E-05,1.71366E-05,1.81957E-05,2.10496E-05,2.19456E-05,2.15747E-05,2.13559E-05,2.05972E-05,7.38979E-05,8.84159E-05,0.000618842,0.000696481,0.000914144,0.004531942,0.005142378,0.005491543,0.003635496,0.004446318,0.005379082,0.00554368,0.002156031,0.002316902,0.002341709,0.00305255,0.003778943,0.004283171,0.004664853,0.004272962,0.003879468,0.003871507,0.009430412,0.010123065,0.01342593,0.01235123,0.012999035,0.014243481,0.012825236,0.012682427,0.012316057
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.4,Residential and other sectors,PM2.5,fossil,3.19324E-05,3.19324E-05,3.61177E-05,3.33895E-05,3.75748E-05,0.000113841,0.000135481,0.000138178,0.000139511,0.000155601,0.000201701,0.000193529,0.000202069,0.00023701,0.00038365,0.000370125,0.000309439,0.000311158,0.001317437,0.001638828,0.001720624,0.00188128,0.002189788,0.00202013,0.002355149,0.002388386,0.001650186,0.002664421,0.004684502,0.005987936,0.005647601,0.005660085,0.005508776,0.006384068,0.00617371,0.00643352,0.00549497,0.00545772,0.005132061,0.005278215,0.002935218,0.003899599,0.006525756,0.008198262,0.006804068,0.006709663,0.007080093,0.007016715,0.006814032
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.5,Non-Specified,PM2.5,fossil,0.001626942,0.001626942,0.00226274,0.002410005,0.001800123,0.002235241,0.001531518,0.001869971,0.001632211,0.001711358,0.001451376,0.001651998,0.001467989,0.001489714,0.001598324,0.001429681,0.001847466,0.001855806,0.006427275,0.009111546,0.009122423,0.009765562,0.009859306,0.008099937,0.008407017,0.009855221,0.006517622,0.010205791,0.002447844,0.003064462,0.002871821,0.003203484,0.003057111,0.003202545,0.002868473,0.001945719,0.002065391,0.002272743,0.001329152,0.002106847,0.000527973,0.000308063,0.000609996,0.000599287,0.000817099,0.000737484,0.000690118,0.000730277,0.000709182
Non-Annex_I,Rest Central America,ABW,Aruba,2.A.3,Glass Production,PM2.5,fossil,2.95325E-06,2.9719E-06,2.99245E-06,3.01195E-06,3.02625E-06,3.03275E-06,3.02945E-06,3.0183E-06,3.0053E-06,2.9989E-06,3.0048E-06,3.02835E-06,3.0672E-06,3.1102E-06,3.14155E-06,3.1514E-06,3.1322E-06,3.09175E-06,3.05385E-06,3.0516E-06,3.1074E-06,3.23115E-06,3.41175E-06,3.6249E-06,0.000003835,4.0163E-06,4.15975E-06,4.27235E-06,4.3638E-06,4.4502E-06,4.5429E-06,4.6447E-06,4.74975E-06,4.85075E-06,4.9371E-06,5.00155E-06,5.0415E-06,5.0609E-06,5.0671E-06,5.0708E-06,5.07985E-06,5.0968E-06,5.11965E-06,5.11381E-06,5.1426E-06,5.17156E-06,5.1899E-06,5.20831E-06,5.22678E-06
Non-Annex_I,Rest Central America,ABW,Aruba,2.A.4,Other Process Uses of Carbonates,PM2.5,fossil,,,,,,,,,,,,,,,,,,,0.0000009,9.60003E-07,0.00000102,0.00000108,1.0202E-06,9.60399E-07,9.00603E-07,8.408E-07,0.000000781,7.212E-07,6.614E-07,6.016E-07,5.418E-07,0.000000482,4.222E-07,3.624E-07,3.026E-07,2.428E-07,0.000000183,1.232E-07,6.34E-08,3.6E-09,3.78E-09,4.032E-09,4.284E-09,4.536E-09,4.788E-09,5.04E-09,5.022E-08,6.12E-09,7.74E-09
Non-Annex_I,Rest Central America,ABW,Aruba,3.A.2,Manure Management,PM2.5,fossil,,,,,,,,,,,,,,,,,,,,,0.001271569,0.001271569,0.001271569,0.001271569,0.001271569,0.001271569,0.001271569,0.001271569,0.001271569,0.001271569,0.001271569,0.001271569,0.001271569,0.001271569,0.001271569,0.001271569,0.001271569,0.001271569,0.001271569,0.001271569,0.001271569,0.001271569,0.001271569,0.001271569,0.001271569,0.001271569,0.001271569,0.001271569,0.001271569
Non-Annex_I,Rest Central America,ABW,Aruba,3.C.4,Direct N2O Emissions from managed soils,PM2.5,fossil,,,,,,,,,,,,,,,,,,,,,0.0001292,0.0001292,0.0001292,0.0001292,0.0001292,0.0001292,0.0001292,0.0001292,0.0001292,0.0001292,0.0001292,0.0001292,0.0001292,0.0001292,0.0001292,0.0001292,0.0001292,0.0001292,0.0001292,0.0001292,0.0001292,0.0001292,0.0001292,0.0001292,0.0001292,0.0001292,0.0001292,0.0001292,0.0001292
Non-Annex_I,Rest Central America,ABW,Aruba,4.A,Solid Waste Disposal,PM2.5,fossil,3.55931E-07,3.58096E-07,3.604E-07,3.62716E-07,3.64323E-07,3.6499E-07,3.64452E-07,3.6302E-07,3.61327E-07,3.60476E-07,3.61063E-07,3.63782E-07,3.68346E-07,3.73372E-07,3.77071E-07,3.78098E-07,3.75692E-07,3.70719E-07,3.66089E-07,3.65696E-07,3.72276E-07,3.87321E-07,4.06646E-07,4.30122E-07,4.54001E-07,4.70672E-07,4.81397E-07,4.93878E-07,0.0000005,5.04844E-07,5.15655E-07,5.18258E-07,5.20509E-07,5.27198E-07,5.37831E-07,5.40362E-07,5.40507E-07,5.3951E-07,5.3558E-07,5.21021E-07,5.14028E-07,5.18942E-07,5.19915E-07,5.26489E-07,5.2997E-07,5.3193E-07,5.35187E-07,5.39807E-07,5.44154E-07
Non-Annex_I,India +,AFG,Afghanistan,1.A.1.a,Main Activity Electricity and Heat Production,PM2.5,bio,0.000133714,0.000136893,0.000139696,0.000136697,0.000136993,0.000162195,0.000164756,0.0001647,0.000189332,0.000838862,0.000842708,0.000831701,0.000847273,0.000851211,0.000844739,0.000872488,0.0008456,0.000851684,0.000869987,0.000899342,0.000935795,0.000962117,0.0010251,0.00110074,0.00118237,0.00210091,0.0022403,0.00174403,0.00180756,,,,,,,,,,,,,9.21034E-05,0.000156491,0.000876333,0.000860069,0.000653508,0.000834235,0.000882038,0.000882038
Non-Annex_I,India +,AFG,Afghanistan,1.A.2,Manufacturing Industries and Construction,PM2.5,bio,,,,,,,,,,0.000500088,,0.0019618,0.00317811,0.00814839,0.00796695,0.00722953,0.00262876,0.00558936,0.0032107,0.00728526,0.0495937,0.0522943,0.0540105,0.0572534,0.0631493,0.114055,0.119753,0.128826,0.133805,0.144608,0.146562,0.153509,0.160506,0.161053,0.160714,0.161568,0.157137,0.158809,0.160353,0.162944,0.170376,0.383761,0.364581,0.425615,0.473611,0.499669,0.444114,0.45878,0.45878
Non-Annex_I,India +,AFG,Afghanistan,1.A.4,Residential and other sectors,PM2.5,bio,0.982254,1.00561,1.04176,1.03802,1.05497,1.08789,1.12396,1.13662,1.1628,1.18571,1.20694,1.19626,1.1854,1.19547,1.15085,1.20405,1.18543,1.20624,1.23795,1.28181,1.36604,1.4128,1.51133,1.64225,1.77899,3.18222,4.00635,4.2895,4.48448,4.75601,5.0133,5.14731,5.3109,5.45006,5.59213,5.73688,5.85259,5.9703,6.08986,6.21012,6.39142,5.798328669,5.884221471,5.95118382,6.073296197,6.198290737,6.286394124,6.530897512,6.530897512
