IPCC_annex,C_group_IM24_sh,Country_code_A3,Name,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_name,Substance,fossil_bio,Y_1970,Y_1971,Y_1972,Y_1973,Y_1974,Y_1975,Y_1976,Y_1977,Y_1978,Y_1979,Y_1980,Y_1981,Y_1982,Y_1983,Y_1984,Y_1985,Y_1986,Y_1987,Y_1988,Y_1989,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.1.a,Main Activity Electricity and Heat Production,SO2,bio,9.58484E-08,9.39664E-08,9.51566E-08,9.43503E-08,9.3467E-08,3.4468E-07,3.37233E-07,4.11871E-07,4.03893E-07,4.71954E-07,8.08141E-08,8.01325E-08,8.03528E-08,7.79447E-08,7.92234E-08,8.0847E-08,8.17183E-08,,,,2.54879E-06,2.66227E-06,2.45226E-06,2.54188E-06,2.31577E-06,2.41071E-06,2.65451E-06,2.71755E-06,3.75847E-06,7.8383E-06,4.96914E-06,5.12662E-06,5.5429E-06,5.20561E-06,6.24125E-06,4.89422E-06,4.8772E-06,5.05775E-06,4.82569E-06,0.000004688,5.30537E-06,3.79063E-06,3.9583E-06,4.26953E-06,6.01461E-06,8.29388E-06,8.05047E-06,6.99883E-06,6.99883E-06
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.2,Manufacturing Industries and Construction,SO2,bio,0.000355647,0.000341672,0.000275055,0.000261995,0.000274372,0.000235977,0.000232324,0.000201548,0.00021825,0.000206933,0.000191177,0.000180462,0.000177861,0.000152565,0.000145231,0.000144398,0.00015239,0.000126832,0.000106461,9.77898E-05,6.74385E-05,7.31662E-05,7.99573E-05,0.00007914,7.41141E-05,0.000071831,7.66948E-05,7.66779E-05,7.21252E-05,6.95616E-05,7.44161E-05,7.67747E-05,8.74775E-05,8.41524E-05,0.000093062,8.20389E-05,8.25961E-05,8.01135E-05,7.70231E-05,7.44276E-05,7.14701E-05,8.11315E-05,7.02374E-05,5.88472E-05,5.75735E-05,5.69249E-05,5.65705E-05,5.82904E-05,5.82904E-05
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.4,Residential and other sectors,SO2,bio,9.45112E-06,9.26554E-06,9.38288E-06,9.23587E-06,9.21628E-06,8.95156E-06,8.87976E-06,8.5155E-06,8.40507E-06,8.17762E-06,9.03845E-06,9.01766E-06,9.14978E-06,8.98525E-06,9.50191E-06,9.91666E-06,1.01875E-05,8.72247E-06,8.55171E-06,9.08065E-06,3.85198E-05,1.72587E-05,1.6961E-05,1.99018E-05,1.95748E-05,1.96538E-05,1.97628E-05,1.99093E-05,2.16221E-05,2.22461E-05,1.56065E-05,1.58731E-05,1.62046E-05,1.66185E-05,1.68979E-05,1.72154E-05,1.71561E-05,1.74008E-05,1.79743E-05,1.76006E-05,1.68569E-05,0.000011704,1.11845E-05,1.02295E-05,1.21257E-05,0.000012137,1.13561E-05,1.16666E-05,1.16666E-05
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.5,Non-Specified,SO2,bio,2.1081E-06,2.01026E-06,2.03778E-06,2.06168E-06,2.00853E-06,1.93854E-06,1.8015E-06,1.71496E-06,1.65466E-06,1.57027E-06,1.5114E-06,1.49101E-06,1.46865E-06,1.39458E-06,2.49793E-06,2.5353E-06,2.47075E-06,2.34615E-06,2.17683E-06,2.0627E-06,2.21964E-06,2.17375E-06,1.87383E-06,1.84859E-06,2.80492E-06,2.75301E-06,2.73457E-06,2.61425E-06,6.9942E-06,7.65732E-06,8.23086E-06,1.51373E-05,0.000015657,1.91511E-05,1.20024E-05,1.20978E-05,1.28925E-05,2.02421E-05,8.73311E-06,2.46283E-05,2.34799E-05,8.84153E-06,9.18892E-06,1.20284E-05,1.52934E-05,2.53033E-05,1.73656E-05,1.71149E-05,1.71149E-05
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.1.a,Main Activity Electricity and Heat Production,SO2,fossil,0.66597127,0.66597127,0.6509736,0.7252467,0.5971893,0.7921195,0.8143324,0.8338336,1.008503,0.8545231,0.8700723,0.8236959,0.7947588,0.7728304,0.8798045,0.9120989,0.8963608,0.9016664,3.5022936,3.7533461,4.0572823,5.1153815,6.0042289,4.64372785,4.85845999,6.34800723,4.14218065,5.9440255,5.23282451,4.35068263,5.2462789,5.4503694,5.5641989,6.9648266,7.487477,7.921933,7.6227204,7.6885883,7.5391822,7.9893729,8.9412672,6.8123451,8.7361321,8.4938327,8.2933869,8.607811,8.1524013,5.0335374,4.8881409
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.2,Manufacturing Industries and Construction,SO2,fossil,0.003648512,0.003648512,0.004066486,0.003572932,0.003990906,0.004560215,0.004999901,0.005209842,0.005452182,0.006022621,0.006703164,0.007829178,0.006334474,0.00869826,0.00937393,0.009817464,0.015748001,0.052081972,0.183366504,0.219302376,0.19253043,0.21402635,0.22361804,0.60921283,0.65251178,0.29317924,0.183853193,0.24862579,0.55861826,0.55079106,0.60467283,0.549184473,0.572448659,0.59509462,0.700884708,0.537327438,0.496198182,0.484788198,0.41998222,0.42942324,0.26742241,0.28195895,0.61158723,0.68535,0.62824069,0.60079844,0.54613279,0.54026791,0.52466206
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.3.a,Civil Aviation,SO2,fossil,0.000541418,0.000541695,7.08214E-05,0.000355281,0.000337589,0.000382466,0.000355229,0.000444512,0.000409119,0.000311177,0.000311335,0.00040153,0.000454378,0.00041852,0.000470641,0.000737765,0.000676705,0.000810588,0.002682222,0.004117736,0.004433413,0.005145964,0.005741584,0.005271623,0.005823642,0.006467792,0.004267987,0.006538528,0.00483003,0.004983904,0.002279977,0.002303741,0.002047046,0.002717895,0.003621734,0.004024096,0.004072448,0.004040644,0.004136714,0.003967482,0.002640484,0.003171355,0.003808478,0.003624806,0.003695404,0.003758804,0.003635543,0.003595586,0.003491716
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.3.b_noRES,Road Transportation no resuspension,SO2,fossil,0.001930182,0.001930184,0.001980466,0.00215267,0.002628473,0.003554218,0.003708807,0.00377887,0.00399959,0.003485301,0.005898336,0.005917938,0.006392437,0.0077031,0.008105289,0.007566701,0.007629651,0.009814951,0.038393926,0.050348574,0.050243149,0.061184638,0.07089807,0.067709215,0.076341429,0.036043679,0.024197127,0.042190835,0.060580567,0.068435901,0.033884177,0.035113396,0.031224908,0.038262363,0.044789484,0.011203653,0.011451238,0.011364293,0.010146901,0.003906199,0.003757441,0.002394913,0.003712508,0.00368547,0.003177362,0.003034901,0.002978095,0.002917084,0.002742257
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.3.d,Water-borne Navigation,SO2,fossil,,,,,,,,,,,0.000762993,0.000748061,0.000794293,0.00104763,0.00109223,0.00107377,,,0.00196507,0.00235112,0.00234931,,,,,0.00315976,0.00208507,0.00316494,0.00301557,0.03341718,0.03942722,0.03983818,0.04392536,0.04700013,0.04807406,0.03311896,0.04123462,0.03921259,0.03704886,0.03850261,0.02986653,0.02733,0.03192603,0.03123781,0.04250281,0.03781213,0.04067469,0.04029542,0.03913147
Non-Annex_I,Rest Central America,ABW,Aruba,1.A.3.e,Other Transportation,SO2,fossil,,,,,,,,,,0.00015228,0.00015228,0.0001493,0.000158527,0.000183392,0.000191198,0.000187967,0.000186061,0.00017945,0.000643826,0.000770312,0.00591218,0.006653905,0.008749293,0.054303559,0.06074256,0.06486681,0.04319589,0.0551754,0.06385062,0.06573757,0.02063539,0.02219207,0.02242969,0.02927521,0.03630948,0.04099432,0.0450502,0.0412597,0.03745412,0.03737098,0.09141583,0.0981302,0.1301478,0.1197295,0.1260093,0.13807263,0.12432417,0.12294048,0.11938894
