country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
European Union - 27 countries (from 2020),319774.741,334832.432,349804.321,357943.107,368898.044,374152.763,378687.795,388603.65,409229.607,412775.134,435914.678,464914.46,423070.137,428541.244,472244.182,476989.593,499866.025,527250.988,569817.05,599531.407,682003.24,670926.564,756344.871,835854.573,866196.89,883782.48,898908.765,903588.69,966563.493,1003564.525,1088271.113,1101889.231
Euro area – 20 countries (from 2023),225666.741,246180.432,252261.916,258590.601,284746.386,275862.125,296901.994,286313.045,297713.968,304737.458,322014.757,350707.041,318366.555,338614.074,365565.103,349854.457,385516.618,408388.956,443889.026,472026.046,539331.882,527073.699,593085.448,678267.822,693044.61,689184.49,718928.428,716397.378,782043.924,806439.893,873475.134,872615.301
Belgium,1186,1286,1432,1273,1438,1560,1522,1560,1867,1998,2283,2278,2268,2261,2787.005,3422.28,4221.997,4779.292,5763.007,6868.655,7986.7,9561.2,11823.6,13055.4,13392.1,15559.7,15379.4,16937.6,18204,20362.7,24514,23656.4
Bulgaria,1878,2441,2063,1942,1468,2314,2919,2936,3325,2982,2951,2171,2704,3301,3363.811,4734.483,4599.021,3280.861,3414.219,4300.39,6423.989,4708.608,6041.127,7672.35,7950.649,9249.899,7734.416,6795.96,9656.609,7937.83,7965.45,10556.184
Czechia,1449,1319,1638,1757,2097,2679,2695,2574,2471.271,2892.739,2838.725,2989.671,3350.939,2289.666,3286.133,3780.417,4225.459,3845.895,4083.012,5208.045,6494.261,7946.512,8796.29,10213.386,10223.688,10696.337,10585.778,10797.198,10481.801,11243.032,11688.689,11922.084
Denmark,825,1057,1352,1607,1743,1852.443,2078.948,2928.605,3925,4379,5572,5846,6789,8078,9519,9812,9201,10305,10096,10063,12429.178,14180.853,14837.229,15967.728,17983.683,18937.051,18390.025,21797.914,20759.881,23073.203,23446.867,26095.909
Germany,21458,20787,23533,24309,27388,30402,31232,26605,28920,32472,39705,42415,49217,51246,63671,70181,79271,96283,100309,101589,111580,129878,149137,158123,168383,194706,195260,222328,228245,246272,258035,236115.2
Estonia,0,0,1,1,3,8,7,11,16,16,18.25,18,30,49,60,111.331,129.799,145.56,197.999,540.32,1043.883,1179.72,1476.478,1219.571,1388.714,1559.6,1587.683,1858.521,1988.802,2142.204,2970.689,2878.533
Ireland,983,964,1055,1027,1217,984,1023,1073,1443,1369,1490,1351,1734,1496,1748,2217.342,2838.57,3151.363,3926.615,4472.867,3905.644,5423.595,5468.041,5972.319,6670.835,8149.849,7805.333,9086.128,10441.744,12045.681,13759.198,11899.745
Greece,1999,3173,2398,2589,2880,3817,4542,4132,3936,4992,4562,3560,4240,6458,6450.781,6999.422,8289.713,5379.842,6587.88,8431.348,10559.917,8407.571,10339.086,14387.533,12307.29,14902.401,14914.935,13878.298,16164.882,16147.779,17650.815,22194.603
Spain,26749,28861,21624,26487,30011,25870,42339,38226,38711,29824,38041,52271,38216,59176,53492.38,46901.81,56026.968,61503.208,64923.147,76831,100983.2,89837,90578.624,115592.12,114069.282,100316.454,108101.767,90672,106354,103216,117274,128967.551
