TIME,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
European Union - 27 countries (from 2020),"16,032,208.48","15,151,200.24","14,103,791.06","13,420,207.51","13,135,925.98","13,020,382.56","13,000,995.51","12,646,729.44","12,041,498.68","11,420,548.49","11,682,354.62","11,648,856.13","11,644,305.40","11,950,165.49","11,886,476.85","11,482,458.96","11,798,898.70","11,837,601.82","10,948,138.07","9,699,981.75","10,261,073.63","10,488,047.82","10,415,309.70","10,254,472.55","9,745,398.03","9,800,509.31","9,402,957.04","9,159,687.29","8,803,185.55","7,193,983.77","5,883,783.34","6,839,788.50","6,784,442.71"
Belgium,"442,424.96","421,037.25","384,829.37","355,541.26","375,948.39","362,720.56","346,101.37","334,452.14","337,697.18","296,088.64","335,700.11","310,691.92","268,537.27","251,892.16","245,814.30","216,607.10","207,339.76","184,983.08","190,833.70","131,267.71","158,561.59","146,752.51","135,470.87","149,179.25","145,550.66","143,405.42","132,539.89","128,532.55","128,974.18","127,724.35","99,009.02","108,541.59","114,613.55"
Bulgaria,"366,131.30","320,468.42","315,600.61","344,156.95","318,855.53","318,771.25","321,844.51","332,167.07","310,087.98","273,795.23","268,530.75","304,216.38","275,495.84","308,322.34","300,810.40","289,552.50","292,250.79","330,089.09","313,383.93","268,619.20","290,488.44","338,866.18","289,517.23","248,973.23","266,166.58","276,638.77","238,588.49","256,347.74","229,955.98","212,583.07","174,176.42","220,632.55","262,135.54"
Czechia,"1,317,199.18","1,207,072.09","1,081,644.78","1,029,172.08","957,564.31","950,084.65","944,857.27","969,622.00","889,306.41","769,834.49","903,515.45","884,973.96","869,780.87","880,285.12","877,069.30","847,370.81","876,750.58","890,246.21","823,854.55","737,229.26","789,085.16","766,218.35","723,609.38","723,322.82","668,718.89","686,409.55","693,078.04","663,089.79","662,154.35","594,181.34","514,905.31","540,408.93","562,345.18"
Denmark,"254,877.64","345,647.27","286,671.09","299,907.39","320,579.75","272,003.17","373,183.24","280,115.93","237,345.86","194,123.28","166,889.61","176,071.03","175,323.36","237,218.57","182,637.03","155,492.31","229,311.12","194,756.36","167,717.55","167,617.31","159,472.74","135,421.00","103,320.34","132,869.98","106,079.70","76,101.37","83,935.86","64,302.86","66,673.89","40,567.01","34,319.78","46,892.88","45,028.43"
Germany,"5,381,620.04","4,801,731.39","4,369,986.41","4,107,106.40","4,007,535.30","3,835,587.07","3,796,368.30","3,638,126.55","3,550,702.17","3,379,857.67","3,551,572.57","3,621,777.78","3,521,290.33","3,558,363.14","3,576,461.46","3,426,538.52","3,606,747.41","3,605,215.41","3,353,962.14","3,017,493.66","3,310,742.57","3,264,275.08","3,346,033.33","3,414,801.25","3,332,891.79","3,324,936.06","3,229,313.83","2,985,544.18","2,919,811.22","2,364,078.09","1,869,615.62","2,257,332.12","2,323,555.09"
Estonia,"9,125.25","8,787.63","5,208.88","2,491.95","1,378.00","1,471.00","1,544.84","1,199.65","1,057.00","1,532.25","1,709.08","2,309.17",835.138,370.786,577.548,466.236,960.42,"2,390.28","2,534.12","1,849.92","1,002.32","1,217.46","1,024.26","1,172.00","1,406.00",559.35,362.55,514.5,701,591.554,-114.112,-376.12,-190.231
Ireland,"87,268.62","86,960.88","80,012.26","78,770.13","73,107.46","74,591.91","80,271.68","75,366.65","78,160.30","66,513.47","75,926.44","78,631.02","73,199.07","73,087.11","75,334.93","78,797.20","68,297.53","66,966.61","59,036.83","47,974.22","51,654.52","51,244.82","62,198.55","54,727.46","52,305.51","61,381.54","60,702.70","48,013.99","32,992.70","16,227.32","18,749.74","38,325.88","30,448.68"
Greece,"337,719.01","325,262.46","342,332.62","341,886.79","354,885.20","351,234.73","332,796.74","357,608.69","373,558.24","358,465.88","378,364.85","389,703.74","375,985.60","372,868.36","381,283.82","374,822.75","352,838.14","369,945.16","348,406.47","352,748.65","329,209.47","330,207.06","340,589.58","292,280.67","279,974.77","234,727.65","182,941.57","201,662.89","191,088.43","133,813.81","76,656.96","71,632.88","65,417.48"
Spain,"807,604.63","840,034.13","856,107.63","770,385.71","794,149.93","795,671.82","672,500.96","769,740.03","732,761.12","821,259.99","876,732.37","802,691.44","904,431.36","842,924.15","881,452.83","858,989.92","749,904.22","839,055.28","565,495.50","404,663.75","304,844.56","532,399.24","649,738.74","479,293.40","484,336.54","568,701.27","453,681.93","540,427.75","482,398.86","212,343.85","129,784.27","129,658.98","150,420.12"
France,"839,027.62","887,826.96","784,291.86","619,748.91","616,822.60","665,451.77","687,762.37","606,052.71","714,899.50","642,208.00","623,261.50","522,899.00","561,609.50","595,621.00","575,305.50","592,633.00","546,578.00","565,011.00","534,280.00","465,439.00","500,830.00","472,240.18","524,467.24","554,531.87","412,217.58","390,492.14","381,486.10","415,393.43","382,343.75","306,833.00","221,854.09","354,262.42","312,438.01"
Croatia,"34,121.57","21,591.56","16,822.28","14,273.57","8,916.01","7,322.47","6,015.15","10,185.28","9,741.98","8,643.39","18,073.67","20,094.88","24,251.69","27,190.84","28,889.78","28,620.56","26,570.66","28,854.08","29,690.31","21,209.00","28,572.86","29,426.73","26,441.95","28,251.03","27,078.28","25,345.30","27,262.40","16,426.26","15,338.57","17,518.88","15,122.36","17,389.25","17,018.86"
Italy,"612,582.84","577,650.22","510,421.11","446,148.11","475,783.77","514,159.89","470,658.49","474,955.69","493,418.01","492,798.84","525,865.14","559,356.16","574,844.81","622,825.13","694,830.52","689,520.73","698,080.50","683,613.24","661,447.98","517,837.48","572,502.25","641,893.96","657,940.61","566,732.81","546,747.03","514,963.00","459,836.35","391,122.35","357,475.74","271,320.12","213,298.58","231,853.79","310,264.25"
Cyprus,"2,682.05","2,682.05",718.9,857.15,746.55,553,497.7,525.35,718.9,829.5,"1,354.85","1,422.52","1,399.20","1,446.90","1,636.58","1,493.47","1,624.91","1,394.82","1,175.18",609.559,702.499,312.343,5.179,5.179,92.844,154.05,0,124.757,569.985,720.087,586.339,"1,679.10","1,280.86"
Latvia,"26,415.52","22,731.18","19,000.83","17,258.50","12,359.20","7,382.88","7,012.90","5,894.60","4,445.23","3,902.40","3,050.69","3,904.49","3,170.82","2,808.96","2,757.09","3,333.93","3,569.34","4,354.80","4,381.59","3,542.55","4,459.11","4,590.21","3,808.96","2,968.21","2,464.52","1,936.71","1,687.83","1,690.86","1,893.83","1,644.62",961.525,718.69,470.069
Lithuania,"32,731.36","36,599.84","16,528.96","14,795.68","12,107.84","9,344.64","8,666.36","6,840.92","5,926.13","4,810.38","3,373.77","3,028.52","5,190.98","6,681.59","6,471.13","7,024.40","9,755.24","9,310.81","7,931.80","6,060.83","7,620.01","8,809.44","8,380.62","9,506.83","8,203.35","6,711.14","6,671.03","6,833.24","7,239.49","7,091.06","5,635.07","6,703.58","6,610.50"
Luxembourg,"46,490.30","43,754.80","40,926.30","42,169.00","36,374.30","20,476.30","19,170.50","12,134.60","3,975.20","4,021.80","4,594.49","4,943.88","3,083.64","2,369.13","3,328.51","3,248.89","3,876.81","3,280.37","3,136.57","2,801.31","2,745.52","2,475.57","2,295.38","2,200.68","2,180.81","2,060.52","2,132.33","1,972.64","1,748.41","1,915.77","1,609.51","1,650.72","1,719.62"
