TIME,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
European Union - 27 countries (from 2020),"10,458,333.70","10,711,535.23","10,351,613.06","10,538,044.53","10,426,370.55","11,327,638.79","12,289,680.57","11,962,939.38","12,310,669.76","12,587,489.08","12,920,356.12","13,383,333.91","13,479,571.18","14,177,321.67","14,551,071.07","15,060,384.29","15,053,650.53","14,780,969.58","15,042,436.97","14,138,477.59","15,191,479.05","13,963,700.49","13,708,334.17","13,455,710.64","11,870,426.93","12,396,275.41","13,119,718.74","13,857,964.72","13,600,486.62","14,028,668.06","13,691,005.77","14,197,945.15","12,317,199.56"
Belgium,"342,018.68","365,693.03","378,890.43","393,833.10","404,968.66","444,258.99","494,699.96","471,634.67","522,275.69","558,308.32","559,712.94","551,807.48","560,111.13","602,977.73","612,050.39","619,245.49","632,637.80","629,204.79","623,372.86","632,887.72","703,466.26","604,992.69","603,999.82","608,493.02","531,060.82","585,869.51","597,651.85","610,782.11","630,376.31","638,306.55","635,292.12","637,735.45","542,655.80"
Bulgaria,"225,909.00","193,305.26","170,256.41","159,196.13","159,941.69","191,943.45","195,779.20","154,899.33","131,010.04","112,464.97","122,730.83","114,639.97","100,580.63","104,652.73","104,364.36","117,400.18","121,443.31","126,039.95","122,013.02","90,464.78","96,311.91","110,124.09","102,625.60","100,387.99","98,917.47","108,637.85","112,480.90","115,650.24","109,365.18","102,234.06","105,304.39","118,944.59","97,355.59"
Czechia,"219,710.70","212,003.10","242,821.80","248,154.30","242,387.10","274,302.90","315,673.20","321,079.50","321,768.90","323,497.80","314,016.30","336,290.40","324,981.00","328,337.10","326,063.70","322,527.60","317,925.90","303,067.80","300,341.70","284,880.60","337,855.50","285,085.80","287,051.40","290,832.30","258,832.80","271,420.20","293,756.64","301,491.00","285,502.28","299,699.12","304,635.87","326,430.38","265,512.35"
Denmark,"76,098.60","86,158.80","90,594.00","102,589.20","114,633.90","132,736.50","156,361.50","164,628.00","178,860.60","188,025.30","186,268.91","193,890.21","193,740.15","195,132.47","194,006.19","184,196.86","189,935.38","170,052.30","170,651.72","163,178.51","185,141.39","155,269.17","145,887.45","138,831.60","117,398.90","119,492.19","120,542.78","115,088.71","111,974.78","105,894.53","88,435.11","80,948.65","60,253.22"
Germany,"2,301,912.90","2,416,796.10","2,378,109.60","2,498,995.80","2,561,852.70","2,817,612.00","3,151,051.20","3,012,330.60","3,045,006.90","3,014,318.70","3,008,348.10","3,164,841.90","3,163,993.20","3,176,741.02","3,189,729.94","3,256,568.95","3,319,959.10","3,202,694.08","3,230,614.86","3,045,105.06","3,177,966.25","2,913,832.16","2,923,182.63","3,060,623.62","2,653,348.61","2,727,871.58","2,944,572.37","3,154,414.40","3,079,483.40","3,166,075.34","3,123,350.70","3,231,445.08","2,795,241.59"
Estonia,"51,174.90","51,385.50","30,042.90","14,891.40","21,386.70","24,388.20","26,895.60","26,134.20","24,804.00","24,111.00","27,717.30","29,745.00","24,942.60","28,471.50","32,428.80","33,480.90","33,835.50","33,634.80","32,259.60","21,986.10","23,551.20","21,071.70","22,834.80","23,232.60","18,235.80","16,347.60","17,930.70","16,996.67","17,317.16","15,917.10","14,570.14","16,505.33","12,229.37"
Ireland,"78,417.00","80,361.00","79,487.10","90,283.50","91,841.40","97,718.40","110,999.70","116,045.10","117,342.90","125,485.20","143,856.00","150,045.30","154,017.90","152,925.30","152,605.70","146,347.30","165,721.07","177,928.69","189,155.54","178,737.65","196,855.54","173,221.07","168,785.28","161,310.19","156,260.96","157,380.36","177,799.60","180,558.66","187,886.92","190,922.33","190,694.68","183,250.03","186,700.60"
Greece,"5,783.45","5,713.19","5,279.38","3,893.42","1,991.71","1,836.90","2,063.71","7,159.44","30,371.96","50,994.30","71,366.50","70,466.31","75,407.46","84,834.65","93,314.58","98,539.14","115,023.46","140,851.60","146,797.51","124,390.26","135,420.56","166,310.58","153,323.59","135,497.96","104,012.72","112,078.58","146,109.83","175,999.18","172,380.39","187,956.02","206,346.33","228,124.10","184,372.60"
Spain,"208,097.51","234,439.32","245,131.63","240,451.62","263,633.51","323,315.85","361,828.61","473,447.48","486,041.42","556,393.27","637,187.19","686,627.96","785,069.85","893,998.60","1,053,880.48","1,249,500.16","1,323,457.93","1,330,706.50","1,461,607.19","1,307,336.65","1,303,330.07","1,211,481.57","1,196,365.74","1,095,408.33","990,875.06","1,027,380.00","1,048,377.42","1,141,604.62","1,133,825.40","1,293,588.89","1,168,761.53","1,231,621.12","1,186,424.78"
France,"1,089,906.55","1,193,996.53","1,191,559.36","1,218,647.03","1,163,335.53","1,238,324.61","1,368,530.69","1,312,099.93","1,398,937.31","1,426,352.05","1,497,456.20","1,572,050.80","1,569,398.19","1,646,170.21","1,680,944.78","1,717,658.17","1,658,885.55","1,611,379.98","1,669,935.93","1,610,314.35","1,784,317.80","1,548,685.24","1,599,994.65","1,625,153.55","1,364,700.62","1,467,063.55","1,603,077.95","1,611,565.46","1,542,181.80","1,571,833.71","1,460,982.27","1,549,490.19","1,391,185.01"
Croatia,"91,881.90","85,089.60","88,201.80","93,126.60","87,620.40","80,982.00","90,746.10","94,067.10","90,424.80","91,683.00","92,503.80","96,933.24","99,241.20","98,646.30","102,917.70","99,518.58","98,420.40","113,089.50","107,883.90","100,620.00","110,211.30","107,610.30","101,037.60","95,536.80","84,548.70","87,165.00","90,875.82","104,388.01","95,970.12","100,733.12","105,725.14","101,706.50","89,298.41"
Italy,"1,632,906.00","1,736,475.30","1,721,284.20","1,756,357.20","1,697,197.50","1,869,504.30","1,928,725.20","1,988,136.90","2,140,553.70","2,326,551.30","2,425,843.80","2,432,497.50","2,416,040.10","2,663,682.30","2,764,082.70","2,958,026.40","2,896,922.70","2,911,118.40","2,910,638.70","2,675,445.30","2,849,396.40","2,671,770.60","2,568,836.70","2,402,667.00","2,122,962.30","2,315,363.40","2,431,675.80","2,576,934.50","2,491,706.96","2,551,815.28","2,440,310.74","2,613,837.89","2,348,959.78"
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,"99,652.50","100,467.00","72,234.00","47,582.10","34,623.90","42,279.30","36,223.20","44,145.90","43,248.60","41,440.50","45,736.20","53,161.20","54,072.00","56,407.50","55,784.70","56,852.10","58,892.40","56,922.30","55,813.50","51,380.10","61,206.30","53,943.30","50,708.70","50,437.80","45,286.20","45,987.30","46,611.55","41,573.05","48,945.50","46,194.01","38,110.76","40,364.92","28,964.21"
Lithuania,"195,855.30","202,749.30","115,829.10","62,643.60","72,473.40","84,929.40","90,795.60","83,820.60","73,420.20","75,888.90","86,403.60","89,853.30","90,857.70","98,560.80","98,292.60","103,684.50","102,746.70","121,066.20","108,674.10","91,326.60","104,326.20","113,798.70","111,119.40","90,623.70","86,436.90","86,561.10","77,103.90","80,448.29","74,344.49","78,058.68","82,553.40","78,556.06","53,651.07"
Luxembourg,"17,982.90","18,710.10","19,502.10","20,258.10","20,440.80","23,324.40","25,587.00","26,217.90","26,490.60","27,465.30","28,108.13","31,246.45","44,666.46","45,214.69","50,069.48","49,248.17","51,513.94","48,083.52","45,771.66","46,576.70","50,098.69","43,219.35","44,005.88","37,258.45","35,301.45","32,194.12","29,688.94","29,020.12","28,622.28","28,640.12","26,011.30","28,043.31","22,022.63"
Hungary,"373,172.40","370,042.20","325,296.00","350,055.90","353,506.50","384,133.50","428,622.30","406,489.50","409,313.70","414,704.70","404,308.80","448,433.10","452,616.30","497,645.10","490,367.70","506,349.00","479,672.10","448,190.10","442,161.00","383,171.40","410,955.30","391,630.50","350,726.40","322,553.70","292,306.50","313,585.20","336,104.90","357,629.40","346,407.30","354,383.99","366,947.10","389,174.40","330,875.11"
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,120.36","12,264.19","12,820.17","13,324.19","13,360.79","13,514.66"
Netherlands,"1,286,496.21","1,438,794.61","1,393,694.86","1,434,695.12","1,396,695.45","1,444,194.59","1,590,894.10","1,496,795.81","1,487,494.34","1,447,794.58","1,465,694.62","1,501,895.20","1,498,795.61","1,506,495.08","1,538,695.17","1,478,994.77","1,433,695.22","1,395,695.55","1,450,994.96","1,485,994.95","1,677,494.51","1,467,194.91","1,401,995.53","1,397,582.27","1,218,473.24","1,198,760.92","1,257,600.31","1,304,762.47","1,287,097.57","1,342,241.48","1,316,686.99","1,262,522.87","978,014.93"
Austria,"219,239.10","231,795.00","227,610.90","240,044.40","246,907.80","269,580.60","286,939.80","276,551.10","283,917.60","288,874.80","275,682.60","292,168.80","290,862.00","313,997.39","321,557.40","338,533.62","316,945.78","298,651.05","315,876.41","308,582.93","340,091.12","320,982.84","306,749.65","295,609.94","270,778.27","289,238.71","303,239.52","325,583.66","308,256.28","321,403.44","306,427.37","323,717.47","288,460.27"
Poland,"374,205.60","348,944.40","324,987.30","341,385.30","343,987.20","376,592.40","395,453.70","394,289.10","398,344.50","387,832.50","416,992.50","434,447.10","423,419.40","471,462.30","497,415.60","512,234.10","526,763.70","523,124.10","526,108.50","505,026.90","536,108.40","537,434.10","572,766.30","575,091.90","561,216.60","576,764.10","612,671.40","646,646.57","675,083.95","679,430.12","730,192.09","763,282.22","629,862.23"
Portugal,0,0,0,0,0,0,0,"3,628.80","29,190.60","81,453.60","85,151.70","94,415.40","114,272.10","110,376.00","138,308.40","157,033.80","152,382.60","159,448.50","173,271.60","176,566.50","187,925.40","186,884.10","164,651.40","157,250.70","145,422.00","169,602.33","180,988.80","226,731.78","211,160.00","222,012.09","217,883.22","208,198.98","201,720.31"
Romania,"1,207,408.50","996,356.70","887,382.90","853,098.30","777,027.60","805,545.00","813,013.20","667,314.90","627,377.40","574,890.30","572,749.20","551,812.50","570,608.10","616,688.10","583,527.60","582,936.30","594,469.80","534,319.20","509,092.20","442,978.20","451,688.40","464,946.30","451,227.60","411,937.20","391,432.50","373,349.70","377,805.99","406,449.67","416,267.56","387,899.29","405,451.91","416,482.44","349,608.34"
Slovenia,"31,933.80","30,389.40","25,772.40","25,736.40","26,367.30","31,226.40","30,505.50","33,279.30","34,304.40","35,744.40","34,565.40","35,585.10","34,324.20","37,962.90","37,628.10","38,888.10","37,649.70","38,275.20","36,789.30","34,814.70","36,125.10","30,882.60","29,729.70","28,966.50","26,209.80","27,813.60","29,519.10","30,925.46","30,342.49","30,798.71","30,795.78","32,455.32","28,618.62"
Slovakia,"213,022.80","189,464.40","208,398.60","206,375.40","197,041.50","218,433.60","230,206.50","233,605.80","237,372.30","240,245.10","241,847.10","258,256.80","245,654.10","237,337.20","230,207.40","246,336.30","225,161.10","213,080.40","216,303.30","185,238.00","209,609.10","194,144.40","182,767.50","190,836.00","157,940.10","162,424.80","163,089.90","173,194.01","170,698.37","171,082.00","171,166.98","190,543.57","158,755.36"
Finland,"91,391.40","96,597.90","100,116.90","103,959.90","114,948.00","118,883.70","124,233.30","121,698.90","139,653.90","139,754.70","143,625.60","155,574.90","154,604.70","171,414.90","165,799.80","151,004.70","162,667.80","156,222.86","161,702.90","145,858.03","160,650.86","140,674.42","125,816.56","119,591.51","105,223.52","93,627.90","86,184.80","80,904.68","91,131.86","89,263.57","88,586.22","89,063.61","45,937.64"
Sweden,"24,156.00","25,807.50","29,129.40","31,790.70","31,560.30","31,591.80","33,851.70","33,439.50","33,143.40","33,214.50","32,482.80","36,648.00","37,295.10","37,189.80","37,027.80","35,279.10","36,921.60","38,122.20","34,605.00","45,615.60","61,375.50","48,510.00","42,144.30","39,996.00","33,245.10","30,295.80","34,257.97","38,501.65","41,894.10","39,464.35","52,459.46","42,139.89","27,005.08"
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Norway,"82,733.17","80,881.66","135,536.24","154,748.79","164,403.04","144,929.82","124,966.42","164,187.74","180,260.76","199,132.25","173,524.50","257,976.90","179,629.02","217,300.51","169,272.51","170,464.17","168,436.33","203,788.56","232,558.82","226,638.09","267,296.02","211,849.91","229,738.82","235,317.28","239,809.94","259,506.61","233,248.16","208,579.74","230,721.61","208,554.67","190,203.62","209,955.68","167,177.48"
United Kingdom,"1,976,311.80","2,130,230.70","2,123,280.90","2,419,065.90","2,521,206.90","2,726,421.30","3,180,381.30","3,191,180.40","3,323,417.40","3,525,164.10","3,659,235.30","3,627,850.50","3,594,589.20","3,595,698.90","3,673,981.80","3,578,575.50","3,393,918.90","3,431,663.10","3,554,566.20","3,269,966.40","3,551,136.30","2,945,127.60","2,779,422.30","2,754,236.70","2,509,558.92","2,564,267.35","2,887,002.96","2,816,700.79","2,850,165.99","2,798,197.10",,,
