TIME,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
European Union - 27 countries (from 2020),"22,177,936.45","22,359,811.52","21,996,333.49","22,002,910.02","22,018,062.47","22,923,367.35","23,456,603.90","23,457,704.99","24,025,016.66","23,591,261.47","23,080,719.49","23,798,195.19","23,693,080.38","23,878,057.62","23,892,805.05","23,759,089.76","23,620,458.39","22,843,091.63","22,702,552.84","21,410,452.60","21,216,104.65","20,545,408.76","19,626,900.00","19,112,652.82","18,932,818.16","18,918,205.87","19,166,095.00","19,566,224.50","19,123,744.33","19,281,317.10","17,548,652.19","18,362,529.61","18,337,858.00"
Belgium,"735,051.94","813,765.50","846,802.64","820,601.92","924,579.91","921,123.96","983,525.59","985,396.22","992,204.33","966,678.90","948,994.99","962,124.90","912,522.91","982,082.04","981,196.06","983,781.51","933,697.95","897,339.46","970,030.70","932,511.51","968,563.91","895,059.15","852,983.64","894,633.10","920,993.98","922,004.03","899,237.60","889,174.92","888,527.65","850,251.47","773,476.32","829,379.27","777,546.73"
Bulgaria,"393,409.50","259,441.52","221,322.28","250,480.74","231,882.26","250,424.83","226,140.05","185,078.88","197,262.92","185,235.47","171,658.27","174,181.76","180,933.36","185,921.00","177,457.72","200,956.94","209,553.47","199,737.07","195,387.21","176,481.27","160,820.18","152,360.50","161,003.10","146,561.33","160,615.13","174,241.10","172,786.18","180,136.07","182,766.36","188,986.68","174,791.25","184,539.54","193,100.78"
Czechia,"364,806.33","303,063.22","324,734.69","307,002.31","313,782.62","326,028.70","335,907.65","323,462.70","341,369.50","338,743.41","322,557.27","343,217.47","348,288.30","357,462.94","388,216.04","403,462.51","401,250.41","403,768.67","406,707.09","384,735.07","376,098.16","366,090.36","361,051.82","346,777.58","368,914.16","360,511.76","334,576.12","390,112.43","393,786.91","395,616.86","355,717.53","390,124.01","395,626.94"
Denmark,"318,765.90","325,400.10","321,352.00","324,461.70","341,130.10","345,923.78","376,001.33","359,182.45","360,743.03","347,905.81","335,513.25","340,088.40","331,210.63","322,161.00","318,846.35","309,466.75","316,010.85","314,990.95","308,624.50","290,036.70","292,034.30","272,814.20","260,679.40","250,959.60","241,494.04","243,113.59","246,011.53","252,545.08","252,077.67","246,419.63","231,077.38","234,733.58","247,096.85"
Germany,"5,091,847.80","5,337,019.30","5,401,242.60","5,430,177.20","5,407,260.90","5,424,422.60","5,549,148.90","5,556,858.20","5,573,539.40","5,360,041.70","5,210,698.10","5,337,307.50","5,117,821.80","5,051,837.10","4,981,375.41","4,904,512.74","4,900,035.63","4,392,953.50","4,644,889.76","4,348,611.62","4,406,233.63","4,260,331.47","4,244,888.70","4,344,137.97","4,258,972.48","4,264,307.06","4,277,049.85","4,339,435.16","4,129,808.81","4,196,431.25","3,973,537.35","3,841,050.26","3,818,163.55"
Estonia,"119,897.25","103,749.51","52,550.98","55,874.66","51,374.77","37,572.63","39,907.04","37,148.48","44,636.22","39,538.26","27,134.52","33,558.14","32,475.95","32,749.98","31,841.51","32,120.60","32,078.32","32,072.80","29,568.46","23,541.59","23,684.86","22,144.68","21,310.14","19,556.72","17,148.90","11,835.22","17,292.68","6,758.53","2,898.93",-747.939,"-1,787.82","-5,579.96","5,002.87"
Ireland,"189,193.55","192,053.36","191,839.28","195,857.87","221,189.67","222,733.82","236,780.93","257,807.37","285,588.04","323,398.38","317,823.83","330,818.19","327,450.66","318,016.63","340,931.61","333,561.62","327,071.33","329,032.70","312,546.81","309,084.62","294,912.13","261,391.88","247,227.80","249,965.48","240,639.29","254,104.10","270,871.37","263,123.59","263,402.77","264,196.29","244,415.16","262,874.81","256,933.12"
Greece,"502,904.01","518,758.36","525,441.06","515,743.98","528,586.47","535,680.50","577,939.18","584,921.06","602,377.67","602,622.44","619,546.46","643,789.18","667,310.44","690,035.10","689,935.88","707,623.87","705,142.66","663,244.63","683,905.22","661,042.43","580,027.72","520,589.44","507,929.24","432,007.06","450,515.97","469,995.99","477,127.91","457,867.35","433,647.84","446,709.88","385,683.29","397,404.93","449,790.04"
Spain,"1,791,967.11","1,858,339.29","1,934,411.77","1,844,157.91","1,992,767.91","2,238,777.50","2,202,359.59","2,296,710.26","2,472,779.63","2,564,026.72","2,581,234.50","2,673,404.60","2,684,502.00","2,752,327.30","2,810,337.50","2,831,192.40","2,812,489.20","2,827,832.10","2,705,220.90","2,513,053.80","2,419,989.30","2,277,966.60","2,084,588.70","1,975,098.90","1,934,761.00","2,031,406.80","2,092,726.90","2,207,263.90","2,208,111.00","2,146,645.30","1,846,955.40","2,027,391.31","2,100,549.18"
France,"3,526,801.22","3,673,400.28","3,502,485.00","3,537,243.14","3,304,445.30","3,416,376.18","3,591,501.96","3,459,428.72","3,616,155.18","3,575,202.20","3,449,758.40","3,729,045.62","3,644,692.93","3,703,088.87","3,743,954.60","3,700,124.34","3,662,411.52","3,604,868.23","3,510,273.96","3,388,878.13","3,232,653.40","3,329,552.26","3,230,306.01","3,154,034.62","3,129,967.66","3,160,266.52","3,053,741.77","3,074,640.91","2,956,085.26","2,976,343.07","2,596,459.12","2,765,481.01","2,696,874.07"
Croatia,"195,258.91","142,735.21","134,441.66","137,314.26","137,746.43","152,226.28","159,831.94","164,952.28","175,613.54","185,726.20","163,684.55","167,802.26","175,201.16","193,188.93","181,148.03","185,696.95","189,602.35","193,291.97","182,514.10","179,312.50","151,950.62","148,449.99","132,320.05","127,258.15","125,489.53","131,161.84","131,013.35","139,368.95","132,589.21","128,722.03","114,379.39","119,468.08","130,088.49"
Italy,"3,490,456.88","3,529,092.87","3,555,557.74","3,535,170.10","3,481,472.86","3,818,360.08","3,772,269.57","3,785,833.48","3,778,896.71","3,660,908.15","3,643,667.17","3,602,752.69","3,624,360.74","3,581,934.76","3,472,375.34","3,362,918.84","3,304,180.05","3,206,486.51","3,036,135.17","2,830,694.91","2,731,637.43","2,625,268.56","2,325,637.78","2,233,047.89","2,159,384.70","2,242,298.36","2,157,642.75","2,177,158.55","2,131,662.57","2,095,941.73","1,817,765.53","2,072,461.83","2,031,888.79"
Cyprus,"54,410.85","55,526.15","64,949.85","69,672.79","79,606.44","68,755.57","76,856.49","75,065.11","80,311.42","80,574.66","86,408.11","85,372.49","86,588.89","94,432.86","88,274.33","89,985.72","93,586.80","98,380.08","104,174.99","102,153.90","98,094.12","95,062.56","89,012.82","75,990.21","77,755.40","78,819.93","84,178.93","86,106.66","85,138.49","84,608.83","77,913.23","78,452.15","80,508.59"
Latvia,"143,922.62","124,690.83","105,146.15","97,810.55","94,664.00","78,716.78","81,959.11","71,269.30","70,750.57","60,701.98","53,142.52","52,709.25","51,508.76","56,454.90","58,490.00","59,680.66","65,137.37","69,905.25","65,219.09","57,940.59","58,754.71","53,686.54","52,908.48","53,793.04","55,421.69","57,714.16","57,169.73","59,511.97","60,167.40","58,110.68","57,261.15","59,322.09","58,616.29"
Lithuania,"281,048.09","315,545.49","167,837.41","155,258.16","142,621.40","124,584.68","131,384.86","133,843.70","152,754.79","120,389.37","89,523.06","106,326.48","102,123.64","96,536.79","104,579.73","110,668.73","110,489.31","109,955.43","120,606.35","102,942.09","104,796.86","100,847.58","103,109.31","101,537.94","102,177.34","105,443.71","114,595.26","116,915.53","123,925.08","120,895.13","118,456.99","119,124.64","119,469.38"
Luxembourg,"61,643.32","72,408.19","74,894.50","74,823.66","73,528.00","67,618.10","69,202.90","70,728.35","72,858.74","76,596.10","83,746.42","88,596.08","89,289.39","96,777.46","110,058.96","114,231.34","107,920.34","103,410.35","104,236.38","97,213.91","102,212.40","105,959.82","102,936.08","100,914.65","95,392.10","91,224.99","88,977.68","91,361.29","96,380.78","98,346.37","77,360.03","81,541.47","70,907.93"
Hungary,"360,353.50","327,868.00","306,695.51","328,717.11","294,718.00","306,489.72","283,855.36","295,294.32","296,042.33","284,294.44","277,512.34","268,027.73","261,698.07","255,193.61","263,487.20","300,679.30","313,580.50","309,649.60","294,894.64","290,141.11","275,023.53","261,451.57","247,446.31","238,727.62","268,408.17","287,061.15","284,016.60","306,780.03","326,050.10","330,721.45","308,020.97","333,745.32","326,897.54"
Malta,"21,570.00","22,086.30","22,759.60","28,131.30","27,282.90","28,636.80","29,510.50","33,142.70","29,199.60","31,843.90","28,568.10","33,264.90","31,003.40","34,905.90","35,048.50","35,453.40","35,463.60","36,191.80","36,793.80","33,624.00","34,818.00","34,478.00","36,411.00","31,998.00","31,890.00","22,193.00","18,358.00","13,844.44","12,486.66","13,674.04","12,163.05","12,613.37","14,630.77"
