TIME,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
European Union - 27 countries (from 2020),"60,224,964.74","60,000,636.08","58,264,237.34","58,164,560.58","57,805,339.31","59,830,802.58","61,837,691.27","61,419,999.98","61,718,447.24","61,112,694.44","61,528,507.87","63,144,709.42","63,249,730.72","64,808,735.84","65,606,061.63","65,843,412.34","66,356,741.28","65,421,631.80","65,230,632.85","61,419,329.88","63,955,994.18","61,999,352.62","61,215,555.03","60,582,773.83","58,429,374.13","59,007,812.61","59,558,446.02","60,674,863.94","60,080,449.81","59,322,968.28","55,356,349.64","58,616,779.09","55,220,404.67"
Belgium,"2,000,189.58","2,090,663.58","2,115,929.14","2,063,409.28","2,191,833.16","2,228,642.71","2,345,838.52","2,353,691.23","2,396,413.01","2,397,436.06","2,425,333.84","2,409,583.89","2,330,216.31","2,432,086.13","2,447,198.87","2,433,763.64","2,403,750.31","2,357,359.95","2,431,461.50","2,317,420.90","2,483,324.40","2,310,692.09","2,219,449.95","2,311,640.90","2,189,316.70","2,186,963.15","2,304,581.70","2,296,351.19","2,220,021.41","2,276,853.56","2,103,635.08","2,314,505.25","2,115,570.57"
Bulgaria,"1,170,564.80","937,313.60","855,338.69","917,832.42","888,199.88","964,430.73","958,642.76","872,618.48","837,037.73","763,985.87","776,744.85","809,780.10","789,499.03","808,275.67","787,587.36","832,855.95","858,736.33","844,427.21","829,986.99","729,298.62","743,093.56","796,771.79","763,327.54","708,660.30","741,261.92","774,741.50","757,015.93","782,838.85","778,979.01","771,826.14","735,874.62","800,415.17","809,538.05"
Czechia,"2,083,856.10","1,892,533.76","1,841,359.77","1,782,891.01","1,720,003.62","1,745,360.18","1,796,466.71","1,812,291.81","1,755,305.67","1,637,763.60","1,721,965.18","1,766,907.51","1,790,739.90","1,868,942.13","1,913,251.86","1,893,274.34","1,935,559.76","1,931,053.38","1,894,777.84","1,779,498.81","1,890,465.52","1,813,197.04","1,798,171.78","1,807,132.22","1,746,728.90","1,748,294.85","1,730,954.51","1,804,852.20","1,809,933.17","1,780,049.95","1,683,396.59","1,783,315.17","1,741,716.24"
Denmark,"727,671.74","807,114.97","772,495.49","794,779.49","822,713.50","815,283.07","921,860.56","854,886.12","841,464.71","806,408.19","783,428.01","807,720.18","799,239.59","844,698.06","817,078.31","793,688.91","852,589.03","832,771.94","809,634.66","781,268.97","817,318.23","758,425.69","725,347.39","730,104.59","688,316.61","685,954.30","703,387.42","707,272.63","706,715.09","683,477.35","657,044.11","692,796.63","666,711.41"
Germany,"14,703,424.24","14,401,207.59","14,123,309.36","13,982,452.35","13,910,044.65","14,061,432.02","14,532,439.55","14,408,920.50","14,314,917.25","13,988,883.67","14,059,795.77","14,484,633.77","14,157,475.88","14,193,149.96","14,273,204.14","14,194,556.61","14,620,618.08","13,871,353.60","14,045,636.92","13,124,448.39","13,829,149.05","13,109,201.82","13,206,871.17","13,499,943.82","12,918,503.02","12,982,532.57","13,038,157.34","13,082,287.11","12,771,277.94","12,493,462.40","11,736,893.89","12,155,408.72","11,443,549.60"
Estonia,"448,537.11","415,636.16","265,247.73","224,817.08","251,195.35","234,973.11","245,256.33","236,809.30","218,460.90","206,410.08","196,280.34","207,479.80","193,257.84","207,714.25","224,543.44","227,958.60","225,979.14","264,459.40","231,453.05","184,168.73","246,634.14","239,695.98","218,905.34","244,480.62","231,901.06","201,000.02","250,304.18","245,064.45","236,480.07","202,984.17","187,261.03","191,100.02","200,813.78"
Ireland,"415,100.54","421,596.75","420,456.34","424,762.61","444,924.92","437,031.18","474,982.45","507,875.10","537,110.73","554,976.95","576,674.99","604,104.95","612,721.20","585,451.60","602,171.57","613,488.20","616,221.86","632,925.32","628,968.49","612,239.49","599,671.98","551,877.69","562,709.11","529,947.02","529,890.71","557,678.01","589,519.64","578,266.00","577,740.69","580,437.99","559,928.20","579,509.03","572,012.84"
Greece,"895,215.67","903,536.01","925,713.66","914,994.00","939,397.18","947,151.13","976,859.23","1,017,017.40","1,071,136.07","1,076,151.41","1,133,030.61","1,172,224.03","1,191,650.71","1,223,931.11","1,244,623.06","1,266,997.29","1,265,753.27","1,263,500.09","1,272,992.77","1,234,559.83","1,158,258.00","1,121,970.97","1,113,851.87","979,504.17","972,038.99","974,045.41","953,577.28","980,044.99","952,439.04","938,828.17","841,258.57","871,443.36","865,135.55"
Spain,"3,655,299.22","3,789,951.03","3,856,947.02","3,702,207.18","3,907,922.14","4,212,283.41","4,151,092.36","4,414,850.06","4,635,404.87","4,860,947.09","5,076,129.32","5,210,390.46","5,366,397.11","5,551,681.23","5,795,674.21","5,915,589.34","5,917,341.69","6,003,657.73","5,784,735.93","5,316,863.14","5,317,065.43","5,265,725.46","5,249,368.99","4,901,014.21","4,794,838.71","4,980,382.02","5,012,262.78","5,270,216.18","5,253,873.26","5,105,372.18","4,614,450.44","4,859,969.13","4,849,143.64"
