Country,"Subnational unit (province, state)",Plant name,Unit name,Wiki URL,Capacity (MW),Start year,retired year,GEM unit_phase ID,H2 2014,H1 2015,H2 2015,H1 2016,H2 2016,H1 2017,H2 2017,H1 2018,H2 2018,H1 2019,H2 2019,H1 2020,H2 2020,H1 2021,H2 2021,H1 2022,H2 2022,H1 2023
Albania,Durres,Porto Romano Power Station,Unit 1,https://www.gem.wiki/Porto_Romano_Power_Station,800,,,G108106,cancelled,cancelled,cancelled,cancelled,cancelled,cancelled,cancelled,cancelled,cancelled,cancelled,cancelled,cancelled,cancelled,cancelled,cancelled,cancelled,cancelled,cancelled
Argentina,Santa Cruz,Río Turbio power station,Unit 1,https://www.gem.wiki/R%C3%ADo_Turbio_power_station,120,2022,,G108585,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,operating,operating
Argentina,Santa Cruz,Río Turbio power station,Unit 2,https://www.gem.wiki/R%C3%ADo_Turbio_power_station,120,2023,,G108586,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction,construction
Argentina,Buenos Aires,San Nicolás power station,Phase 2 Unit 11,https://www.gem.wiki/San_Nicolás_power_station,375,1983,,G108783,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating
Australia,Victoria,Anglesea power station,Unit 1,https://www.gem.wiki/Anglesea_power_station,160,1969,2015,G100202,operating,operating,retired,retired,retired,retired,retired,retired,retired,retired,retired,retired,retired,retired,retired,retired,retired,retired
Australia,South Australia,Arckaringa Coal-to-Liquids and Power Project,Phase I,https://www.gem.wiki/Arckaringa_Coal-to-Liquids_and_Power_Project,560,,,G100329,announced,announced,announced,shelved,cancelled,cancelled,cancelled,cancelled,cancelled,cancelled,cancelled,cancelled,cancelled,cancelled,cancelled,cancelled,cancelled,cancelled
Australia,South Australia,Arckaringa Coal-to-Liquids and Power Project,Phase II,https://www.gem.wiki/Arckaringa_Coal-to-Liquids_and_Power_Project,280,,,G100330,announced,announced,announced,shelved,cancelled,cancelled,cancelled,cancelled,cancelled,cancelled,cancelled,cancelled,cancelled,cancelled,cancelled,cancelled,cancelled,cancelled
Australia,New South Wales,Bayswater power station,Plant B,https://www.gem.wiki/Bayswater_power_station,2000,,,G100678,shelved,shelved,shelved,shelved,cancelled,cancelled,cancelled,cancelled,cancelled,cancelled,cancelled,cancelled,cancelled,cancelled,cancelled,cancelled,cancelled,cancelled
Australia,New South Wales,Bayswater power station,Unit 1,https://www.gem.wiki/Bayswater_power_station,685,1985,,G100679,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating
Australia,New South Wales,Bayswater power station,Unit 2,https://www.gem.wiki/Bayswater_power_station,660,1985,,G100680,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating
Australia,New South Wales,Bayswater power station,Unit 3,https://www.gem.wiki/Bayswater_power_station,660,1986,,G100681,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating
Australia,New South Wales,Bayswater power station,Unit 4,https://www.gem.wiki/Bayswater_power_station,660,1986,,G100682,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating
Australia,Western Australia,Bluewaters power station,Unit 1,https://www.gem.wiki/Bluewaters_power_station,233,2009,,G100962,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating
Australia,Western Australia,Bluewaters power station,Unit 2,https://www.gem.wiki/Bluewaters_power_station,233,2009,,G100963,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating
Australia,Western Australia,Bluewaters power station,Unit 3,https://www.gem.wiki/Bluewaters_power_station,208,,,G100964,shelved,shelved,shelved,shelved,shelved,shelved,shelved,shelved,shelved,cancelled,cancelled,cancelled,cancelled,cancelled,cancelled,cancelled,cancelled,cancelled
Australia,Western Australia,Bluewaters power station,Unit 4,https://www.gem.wiki/Bluewaters_power_station,208,,,G100965,shelved,shelved,shelved,shelved,shelved,shelved,shelved,shelved,shelved,cancelled,cancelled,cancelled,cancelled,cancelled,cancelled,cancelled,cancelled,cancelled
Australia,Queensland,Callide Oxyfuel Project,,https://www.gem.wiki/Callide_Oxyfuel_Project,30,2012,2015,G101159,operating,retired,retired,retired,retired,retired,retired,retired,retired,retired,retired,retired,retired,retired,retired,retired,retired,retired
Australia,Queensland,Callide power station,Phase B Unit 1,https://www.gem.wiki/Callide_power_station,350,1989,,G101160,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating
Australia,Queensland,Callide power station,Phase B Unit 2,https://www.gem.wiki/Callide_power_station,350,1989,,G101161,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating
Australia,Queensland,Callide power station,Phase C Unit 1,https://www.gem.wiki/Callide_power_station,460,2001,,G101162,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating
Australia,Queensland,Callide power station,Phase C Unit 2,https://www.gem.wiki/Callide_power_station,460,2001,,G101163,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,mothballed,mothballed,mothballed,mothballed
Australia,Western Australia,Collie power station,Unit 1,https://www.gem.wiki/Collie_power_station,350,1999,,G101664,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating,operating
Australia,New South Wales,Collinsville (Shine Energy) power station,,https://www.gem.wiki/Collinsville_(Shine_Energy)_power_station,1000,2025,,G114249,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,announced,announced,announced,pre-permit,pre-permit,pre-permit,pre-permit,pre-permit,pre-permit
Australia,Queensland,Collinsville power station,Unit 1,https://www.gem.wiki/Collinsville_power_station,30,1968,2012,G101665,retired,retired,retired,retired,retired,retired,retired,retired,retired,retired,retired,retired,retired,retired,retired,retired,retired,retired
Australia,Queensland,Collinsville power station,Unit 2,https://www.gem.wiki/Collinsville_power_station,30,1968,2012,G101666,retired,retired,retired,retired,retired,retired,retired,retired,retired,retired,retired,retired,retired,retired,retired,retired,retired,retired
