Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,GDP (constant 2015 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,982616126.7,1140605386,1353312877,1517467571,1577580558,1703201274,1803389602,1935175782,2093935693,2147271244,2172733340,2325843142,2372173576,2401542077,2584457670,2692900552,2667108731,2697003796,2893373340,2882235963,2915061917,3005333289,3060433997,2702865574,2629007178,2717520017,2689383486,2862305920,2861719742,2963128492,3025849510,3191737811,3359554779,3380888935,2752412118,3225070323,
Africa Eastern and Southern,AFE,GDP (constant 2015 US$),NY.GDP.MKTP.KD,1.53696E+11,1.54061E+11,1.66362E+11,1.74953E+11,1.82972E+11,1.92721E+11,2.00264E+11,2.10788E+11,2.19275E+11,2.30849E+11,2.41685E+11,2.54675E+11,2.60162E+11,2.71727E+11,2.87731E+11,2.92726E+11,3.01074E+11,3.04818E+11,3.08002E+11,3.16633E+11,3.3378E+11,3.48231E+11,3.50031E+11,3.50598E+11,3.61166E+11,3.59565E+11,3.67813E+11,3.83423E+11,3.98815E+11,4.1042E+11,4.10286E+11,4.10754E+11,4.02688E+11,4.01126E+11,4.09247E+11,4.26839E+11,4.50034E+11,4.69983E+11,4.78659E+11,4.91355E+11,5.07835E+11,5.26387E+11,5.46944E+11,5.63877E+11,5.94932E+11,6.31323E+11,6.72747E+11,7.16938E+11,7.47784E+11,7.5261E+11,7.91724E+11,8.2102E+11,8.27342E+11,8.62334E+11,8.97164E+11,9.23144E+11,9.46093E+11,9.71065E+11,9.96418E+11,1.01673E+12,9.85792E+11,1.02919E+12,
Afghanistan,AFG,GDP (constant 2015 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7555185296,8222480251,8338755823,9275174321,9772082812,11123202208,11559786095,14032485422,16047892927,16116313887,18171512502,19189252517,19712072023,19998156214,20450177379,20991494229,21241130983,22071999789,21553064853,17083574409,
Africa Western and Central,AFW,GDP (constant 2015 US$),NY.GDP.MKTP.KD,1.05676E+11,1.07615E+11,1.11675E+11,1.19808E+11,1.26269E+11,1.31391E+11,1.29017E+11,1.16636E+11,1.18323E+11,1.36727E+11,1.61287E+11,1.78763E+11,1.8439E+11,1.92177E+11,2.1189E+11,2.07249E+11,2.25036E+11,2.35696E+11,2.30453E+11,2.42536E+11,2.4742E+11,2.30139E+11,2.22367E+11,2.07764E+11,2.08901E+11,2.20504E+11,2.23602E+11,2.26867E+11,2.37897E+11,2.43296E+11,2.59354E+11,2.62247E+11,2.6935E+11,2.66206E+11,2.65378E+11,2.70453E+11,2.82964E+11,2.9492E+11,3.05242E+11,3.09561E+11,3.2115E+11,3.37906E+11,3.71488E+11,3.92039E+11,4.23492E+11,4.48278E+11,4.72395E+11,4.98561E+11,5.29886E+11,5.63207E+11,6.02437E+11,6.31667E+11,6.64107E+11,7.04676E+11,7.46466E+11,7.66958E+11,7.6783E+11,7.85533E+11,8.08676E+11,8.3448E+11,8.26967E+11,8.59759E+11,
Angola,AGO,GDP (constant 2015 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,22133389551,21159520141,21159520141,22048220289,23371113983,24189102854,24890587258,25906807370,27494607219,27506050877,26557064977,26820340911,25254494115,19197603369,19454729049,22372938412,25403211916,27251112007,28529501581,29151869725,30042349802,31305930601,35584101641,36648066280,40661029539,46772382275,52174592427,59484252831,66128643868,66697350207,69938841426,72365719225,78545751649,82433766353,86407073890,87219300385,84969042438,84841588874,83724808772,83138735113,78482965946,79346278572,
Albania,ALB,GDP (constant 2015 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,4650625161,4917833121,5062840191,5118781450,5054714953,5144721429,5434741887,5391924672,5315357204,5838204918,5279159423,3800881723,3527708138,3864936282,4185836785,4743487914,5175145287,4610020246,5017058469,5663797625,6057217275,6559561240,6857137321,7236243584,7635298387,8057257368,8532849798,9043392346,9721650519,10047742807,10420206418,10685442993,10836881664,10945469119,11139690870,11386850130,11764322012,12211628287,12702457551,12967692915,12516205780,13582023424,
Andorra,AND,GDP (constant 2015 US$),NY.GDP.MKTP.KD,,,,,,,,,,,859118311.6,899062719.9,972334025.4,1048063942,1106952451,1112954410,1149724054,1182359840,1199657766,1200156310,1226664494,1225039476,1240309117,1262264056,1284791515,1314617089,1357385813,1432681663,1505667140,1578346209,1638029596,1679733887,1695342210,1677855020,1717841363,1765210867,1847288559,2014794627,2079163153,2164389691,2240757202,2422692295,2532836662,2753046642,2977025606,3137719375,3288602532,3339680716,3154021641,2986768713,2927781286,2927545021,2781915942,2683224789,2750425228,2789870188,2893365390,2903378514,2949506390,3008955097,2672435366,2911602777,
Arab World,ARB,GDP (constant 2015 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,5.67574E+11,6.57031E+11,7.10449E+11,7.06184E+11,7.84053E+11,8.55258E+11,8.84334E+11,8.10582E+11,7.60043E+11,7.69966E+11,7.54163E+11,7.87651E+11,7.87074E+11,8.32473E+11,8.50724E+11,9.53755E+11,9.76566E+11,1.02734E+12,1.05988E+12,1.09465E+12,1.12817E+12,1.18115E+12,1.23736E+12,1.30067E+12,1.32456E+12,1.41152E+12,1.43553E+12,1.44525E+12,1.51571E+12,1.65011E+12,1.74124E+12,1.84724E+12,1.93167E+12,2.03898E+12,2.0469E+12,2.14409E+12,2.21371E+12,2.32767E+12,2.38786E+12,2.45796E+12,2.53893E+12,2.62825E+12,2.65601E+12,2.71933E+12,2.75344E+12,2.62142E+12,2.71765E+12,
United Arab Emirates,ARE,GDP (constant 2015 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,55440304003,64602843492,78453260408,77206164776,93360453083,1.1565E+11,1.21038E+11,1.12905E+11,1.07547E+11,1.11867E+11,1.07846E+11,91714438012,94816203530,92333054671,1.03725E+11,1.22736E+11,1.23791E+11,1.27932E+11,1.29546E+11,1.38479E+11,1.47741E+11,1.56307E+11,1.69109E+11,1.69603E+11,1.74525E+11,1.93466E+11,1.96173E+11,2.00947E+11,2.18631E+11,2.39546E+11,2.51176E+11,2.75886E+11,2.84671E+11,2.93757E+11,2.78356E+11,2.82817E+11,3.02412E+11,3.16857E+11,3.32876E+11,3.46743E+11,3.70275E+11,3.90868E+11,3.93741E+11,3.98915E+11,4.03336E+11,3.83343E+11,3.98355E+11,
Argentina,ARG,GDP (constant 2015 US$),NY.GDP.MKTP.KD,1.50798E+11,1.58983E+11,1.57628E+11,1.49261E+11,1.64382E+11,1.81756E+11,1.80557E+11,1.8632E+11,1.95305E+11,2.1421E+11,2.20734E+11,2.33224E+11,2.37021E+11,2.43686E+11,2.57171E+11,2.57098E+11,2.51909E+11,2.69377E+11,2.57238E+11,2.83535E+11,2.87842E+11,2.72903E+11,2.70896E+11,2.82677E+11,2.87117E+11,2.72219E+11,2.88969E+11,2.96785E+11,2.93551E+11,2.72541E+11,2.65817E+11,2.90095E+11,3.1312E+11,3.38818E+11,3.58592E+11,3.48389E+11,3.67644E+11,3.97464E+11,4.12767E+11,3.98793E+11,3.95646E+11,3.78203E+11,3.36999E+11,3.6678E+11,3.99899E+11,4.35297E+11,4.70326E+11,5.12691E+11,5.33492E+11,5.01917E+11,5.52738E+11,5.85924E+11,5.7991E+11,5.93859E+11,5.78938E+11,5.94749E+11,5.82377E+11,5.98791E+11,5.83118E+11,5.71451E+11,5.1463E+11,5.68143E+11,
