Name of the initiative,Type,Status,Type of juridiction covered,Jurisdiction covered,World Bank region,Year of implementation,Year of abolishment,GHG emissions covered [MtCO2e],Proportion of global GHG emissions covered,"Government income, previous year",Value [billion US$],Initiatives with overlapping GHG emissions covered,Covered GHG emissions overlapping with other initiatives [MtCO2e]
Albania ETS,ETS,Under consideration,National,Albania,Europe and Central Asia,TBC,0,N/A,N/A,N/A,undefined,N/A,
Alberta TIER,ETS,Implemented,Subnational,Alberta,North America,2007,0,148.48,0.002944797,0.440035469,undefined,N/A,
Alberta carbon tax,Carbon tax,Abolished,Subnational,Alberta,North America,2017,2020,0,0,N/A,undefined,N/A,
Argentina carbon tax,Carbon tax,Implemented,National,Argentina,Latin America and the Caribbean  ,2018,0,76.24486578,0.001512161,0.167387163,undefined,N/A,
Australia (Safeguard Mechanism),ETS,Scheduled,National,Australia,East Asia & Pacific ,2023,0,N/A,N/A,N/A,undefined,N/A,
Australia CPM,ETS,Abolished,National,Australia,East Asia & Pacific ,2012,2015,0,0,N/A,undefined,N/A,
Austria ETS,ETS,Implemented,National,Austria,Europe and Central Asia,2022,0,32.02227279,0.000635096,N/A,undefined,N/A,
BC GGIRCA,ETS,Implemented,Subnational,British Columbia,North America,2016,0,0,0,N/A,undefined,BC carbon tax,0
BC carbon tax,Carbon tax,Implemented,Subnational,British Columbia,North America,2008,0,43.4,0.00086075,1.624547403,undefined,BC GGIRCA,0
Baja California,Carbon tax,Abolished,Subnational,Baja California,Latin America and the Caribbean  ,2020,2022,N/A,N/A,N/A,undefined,N/A,
Beijing pilot ETS,ETS,Implemented,Subnational,Beijing,East Asia & Pacific ,2013,0,35.28,0.000699707,0.016451918,undefined,China national ETS,
Bosnia and Herzegovina ETS,ETS,Under consideration,National,Bosnia and Herzegovina,Europe and Central Asia,TBC,0,N/A,N/A,N/A,undefined,N/A,
Botswana carbon tax,Carbon tax,Under consideration,National,Botswana,Sub-Saharan Africa,TBC,0,N/A,N/A,N/A,undefined,N/A,
Brazil ETS,ETS,Under consideration,National,Brazil,Latin America and the Caribbean  ,TBC,0,N/A,N/A,N/A,undefined,N/A,
