GroupCode,GroupName,CountryCode,CountryName,
AFE,Africa Eastern and Southern,AGO,Angola,
AFE,Africa Eastern and Southern,BWA,Botswana,
AFE,Africa Eastern and Southern,BDI,Burundi,
AFE,Africa Eastern and Southern,COM,Comoros,
AFE,Africa Eastern and Southern,COD,"Congo, Dem. Rep.",
AFE,Africa Eastern and Southern,ERI,Eritrea,
AFE,Africa Eastern and Southern,SWZ,Eswatini,
AFE,Africa Eastern and Southern,ETH,Ethiopia,
AFE,Africa Eastern and Southern,KEN,Kenya,
AFE,Africa Eastern and Southern,LSO,Lesotho,
AFE,Africa Eastern and Southern,MDG,Madagascar,
AFE,Africa Eastern and Southern,MWI,Malawi,
AFE,Africa Eastern and Southern,MUS,Mauritius,
AFE,Africa Eastern and Southern,MOZ,Mozambique,
AFE,Africa Eastern and Southern,NAM,Namibia,
AFE,Africa Eastern and Southern,RWA,Rwanda,
AFE,Africa Eastern and Southern,STP,São Tomé and Príncipe,
AFE,Africa Eastern and Southern,SYC,Seychelles,
AFE,Africa Eastern and Southern,SOM,Somalia,
AFE,Africa Eastern and Southern,ZAF,South Africa,
AFE,Africa Eastern and Southern,SSD,South Sudan,
AFE,Africa Eastern and Southern,SDN,Sudan,
AFE,Africa Eastern and Southern,TZA,Tanzania,
AFE,Africa Eastern and Southern,UGA,Uganda,
AFE,Africa Eastern and Southern,ZMB,Zambia,
AFE,Africa Eastern and Southern,ZWE,Zimbabwe,
AFW,Africa Western and Central,BEN,Benin,
AFW,Africa Western and Central,BFA,Burkina Faso,
AFW,Africa Western and Central,CPV,Cabo Verde,
AFW,Africa Western and Central,CMR,Cameroon,
AFW,Africa Western and Central,CAF,Central African Republic,
AFW,Africa Western and Central,TCD,Chad,
AFW,Africa Western and Central,COG,"Congo, Rep.",
AFW,Africa Western and Central,CIV,Côte d’Ivoire,
AFW,Africa Western and Central,GNQ,Equatorial Guinea,
AFW,Africa Western and Central,GAB,Gabon,
AFW,Africa Western and Central,GMB,"Gambia, The",
AFW,Africa Western and Central,GHA,Ghana,
AFW,Africa Western and Central,GIN,Guinea,
AFW,Africa Western and Central,GNB,Guinea-Bissau,
AFW,Africa Western and Central,LBR,Liberia,
AFW,Africa Western and Central,MLI,Mali,
AFW,Africa Western and Central,MRT,Mauritania,
AFW,Africa Western and Central,NER,Niger,
AFW,Africa Western and Central,NGA,Nigeria,
AFW,Africa Western and Central,SEN,Senegal,
AFW,Africa Western and Central,SLE,Sierra Leone,
AFW,Africa Western and Central,TGO,Togo,
ARB,Arab World,DZA,Algeria,Lower middle income
ARB,Arab World,BHR,Bahrain,High income
ARB,Arab World,COM,Comoros,Lower middle income
ARB,Arab World,DJI,Djibouti,Lower middle income
ARB,Arab World,EGY,"Egypt, Arab Rep.",Lower middle income
ARB,Arab World,IRQ,Iraq,Upper middle income
ARB,Arab World,JOR,Jordan,Lower middle income
ARB,Arab World,KWT,Kuwait,High income
ARB,Arab World,LBN,Lebanon,Lower middle income
ARB,Arab World,LBY,Libya,Upper middle income
ARB,Arab World,MRT,Mauritania,Lower middle income
ARB,Arab World,MAR,Morocco,Lower middle income
ARB,Arab World,OMN,Oman,High income
ARB,Arab World,QAT,Qatar,High income
ARB,Arab World,SAU,Saudi Arabia,High income
ARB,Arab World,SOM,Somalia,Low income
ARB,Arab World,SDN,Sudan,Low income
ARB,Arab World,SYR,Syrian Arab Republic,Low income
ARB,Arab World,TUN,Tunisia,Lower middle income
ARB,Arab World,ARE,United Arab Emirates,High income
ARB,Arab World,PSE,West Bank and Gaza,Upper middle income
ARB,Arab World,YEM,"Yemen, Rep.",Low income
CEB,Central Europe and the Baltics,BGR,Bulgaria,Upper middle income
CEB,Central Europe and the Baltics,HRV,Croatia,High income
CEB,Central Europe and the Baltics,CZE,Czechia,High income
CEB,Central Europe and the Baltics,EST,Estonia,High income
CEB,Central Europe and the Baltics,HUN,Hungary,High income
CEB,Central Europe and the Baltics,LVA,Latvia,High income
CEB,Central Europe and the Baltics,LTU,Lithuania,High income
CEB,Central Europe and the Baltics,POL,Poland,High income
CEB,Central Europe and the Baltics,ROU,Romania,High income
CEB,Central Europe and the Baltics,SVK,Slovak Republic,High income
CEB,Central Europe and the Baltics,SVN,Slovenia,High income
CSS,Caribbean small states,ATG,Antigua and Barbuda,High income
CSS,Caribbean small states,BHS,"Bahamas, The",High income
CSS,Caribbean small states,BRB,Barbados,High income
CSS,Caribbean small states,BLZ,Belize,Upper middle income
CSS,Caribbean small states,DMA,Dominica,Upper middle income
CSS,Caribbean small states,GRD,Grenada,Upper middle income
CSS,Caribbean small states,GUY,Guyana,High income
CSS,Caribbean small states,JAM,Jamaica,Upper middle income
CSS,Caribbean small states,KNA,St. Kitts and Nevis,High income
CSS,Caribbean small states,LCA,St. Lucia,Upper middle income
CSS,Caribbean small states,VCT,St. Vincent and the Grenadines,Upper middle income
CSS,Caribbean small states,SUR,Suriname,Upper middle income
CSS,Caribbean small states,TTO,Trinidad and Tobago,High income
EAP,East Asia & Pacific (excluding high income),KHM,Cambodia,Lower middle income
EAP,East Asia & Pacific (excluding high income),CHN,China,Upper middle income
EAP,East Asia & Pacific (excluding high income),FJI,Fiji,Upper middle income
EAP,East Asia & Pacific (excluding high income),IDN,Indonesia,Upper middle income
EAP,East Asia & Pacific (excluding high income),KIR,Kiribati,Lower middle income
EAP,East Asia & Pacific (excluding high income),PRK,"Korea, Dem. People's Rep.",Low income
EAP,East Asia & Pacific (excluding high income),LAO,Lao PDR,Lower middle income
