time,type,outcome,att,att_low,att_high,pollutant
1990,treated,10.84060794511776,1.5231975602714165,-2.66821205282598,5.895102311856371,nox
1990,counterfactual,10.82549081134515,1.5231975602714165,-2.66821205282598,5.895102311856371,nox
1991,treated,10.837651551383047,-0.1371455658247256,-3.5769590266050644,3.4253804388197917,nox
1991,counterfactual,10.839023948347343,-0.1371455658247256,-3.5769590266050644,3.4253804388197917,nox
1992,treated,10.764004042389914,0.10747867071072559,-2.911522979200065,3.2203572794722968,nox
1992,counterfactual,10.762929832852521,0.10747867071072559,-2.911522979200065,3.2203572794722968,nox
1993,treated,10.700432648882233,-1.0737885770447653,-3.672209812231775,1.594724507050116,nox
1993,counterfactual,10.711228601801134,-1.0737885770447653,-3.672209812231775,1.594724507050116,nox
1994,treated,10.656212674183157,-0.7513608159099738,-4.286109861722465,2.913927807792649,nox
1994,counterfactual,10.663754651689482,-0.7513608159099738,-4.286109861722465,2.913927807792649,nox
1995,treated,10.416072064173607,-0.5172774712108752,-3.8933433834924647,2.9773839832041737,nox
1995,counterfactual,10.421258264001573,-0.5172774712108752,-3.8933433834924647,2.9773839832041737,nox
1996,treated,10.417439877271669,0.2882412175463145,-1.8184461283804132,2.4401318771147373,nox
1996,counterfactual,10.41456161128075,0.2882412175463145,-1.8184461283804132,2.4401318771147373,nox
1997,treated,10.374781601130316,0.4774199893502251,-2.300661640029078,3.334496396678377,nox
1997,counterfactual,10.370018761585756,0.4774199893502251,-2.300661640029078,3.334496396678377,nox
1998,treated,10.34365847296144,0.9962934288130665,-2.1849970919410877,4.281050790813978,nox
1998,counterfactual,10.333744841506311,0.9962934288130665,-2.1849970919410877,4.281050790813978,nox
1999,treated,10.306981873583647,0.3124193429856925,-1.8919980184369356,2.5663684021821176,nox
1999,counterfactual,10.30386255030519,0.3124193429856925,-1.8919980184369356,2.5663684021821176,nox
2000,treated,10.274874474840283,-0.49234456658399095,-3.2385645904625115,2.3318168849679743,nox
2000,counterfactual,10.279810080594174,-0.49234456658399095,-3.2385645904625115,2.3318168849679743,nox
2001,treated,10.317574594097337,-4.311126726359904,-7.059636289467797,-1.4813359575745366,nox
2001,counterfactual,10.361642755119142,-4.311126726359904,-7.059636289467797,-1.4813359575745366,nox
2002,treated,10.372626612060017,0.7947168973392538,-2.168159025066674,3.8473246866311372,nox
2002,counterfactual,10.364710855517128,0.7947168973392538,-2.168159025066674,3.8473246866311372,nox
2003,treated,10.416326272246252,5.426565222887225,2.6510040205068863,8.277174302895919,nox
2003,counterfactual,10.363481811921442,5.426565222887225,2.6510040205068863,8.277174302895919,nox
2004,treated,10.371302156336078,-2.28683522456552,-4.909776342515626,0.4084563395567953,nox
2004,counterfactual,10.39443604541916,-2.28683522456552,-4.909776342515626,0.4084563395567953,nox
