time,type,outcome,att,att_low,att_high,pollutant
1990,treated,7.606064385383528,1.2051816962546757,-3.610598572817336,6.261566629912196,pm25
1990,counterfactual,7.594084613296898,1.2051816962546757,-3.610598572817336,6.261566629912196,pm25
1991,treated,7.673590887057294,-1.2930221177329115,-6.5138359716519485,4.21935249900669,pm25
1991,counterfactual,7.686605431209618,-1.2930221177329115,-6.5138359716519485,4.21935249900669,pm25
1992,treated,7.722594532953591,0.6355014598052877,-3.992251823808124,5.486321119422977,pm25
1992,counterfactual,7.716259626314856,0.6355014598052877,-3.992251823808124,5.486321119422977,pm25
1993,treated,7.681653741867944,-1.412291712339886,-5.210900980303523,2.538544262279774,pm25
1993,counterfactual,7.695877336415404,-1.412291712339886,-5.210900980303523,2.538544262279774,pm25
1994,treated,7.606586468262789,-3.60373765057882,-6.4553791334654775,-0.6651658977141484,pm25
1994,counterfactual,7.6432892256949545,-3.60373765057882,-6.4553791334654775,-0.6651658977141484,pm25
1995,treated,7.544368276351857,2.038940561375391,-0.9561109356237218,5.124561335837408,pm25
1995,counterfactual,7.524183951701819,2.038940561375391,-0.9561109356237218,5.124561335837408,pm25
1996,treated,7.551751550292109,3.4103795111834145,0.2005938008017072,6.722986212097881,pm25
1996,counterfactual,7.518216397124059,3.4103795111834145,0.2005938008017072,6.722986212097881,pm25
1997,treated,7.4825163280354134,1.0888460282384882,-2.692488340188526,5.017121669358127,pm25
1997,counterfactual,7.471686720213638,1.0888460282384882,-2.692488340188526,5.017121669358127,pm25
1998,treated,7.471088828366649,3.0704463960896877,-0.5191134152964794,6.789527968709352,pm25
1998,counterfactual,7.440846314316197,3.0704463960896877,-0.5191134152964794,6.789527968709352,pm25
1999,treated,7.382455762356253,-3.5979235811420263,-6.934242438515126,-0.1420008672085804,pm25
1999,counterfactual,7.41909820734511,-3.5979235811420263,-6.934242438515126,-0.1420008672085804,pm25
2000,treated,7.315668597694059,-3.5120646248557263,-7.140006722389747,0.25761734793017244,pm25
2000,counterfactual,7.351420805172345,-3.5120646248557263,-7.140006722389747,0.25761734793017244,pm25
2001,treated,7.297294223381365,-0.004257931906448409,-4.212233869721549,4.388575239860093,pm25
2001,counterfactual,7.297336803606954,-0.004257931906448409,-4.212233869721549,4.388575239860093,pm25
2002,treated,7.295316600364518,0.14671966777564105,-3.930355180319689,4.396820442511706,pm25
2002,counterfactual,7.293850478968169,0.14671966777564105,-3.930355180319689,4.396820442511706,pm25
2003,treated,7.244695125268566,0.13414360199102138,-3.046283905853442,3.4189004696594028,pm25
2003,counterfactual,7.243354588170146,0.13414360199102138,-3.046283905853442,3.4189004696594028,pm25
2004,treated,7.209753839030601,1.3695736107099288,-2.44444843295174,5.332708277035003,pm25
2004,counterfactual,7.196151041900273,1.3695736107099288,-2.44444843295174,5.332708277035003,pm25
2005,treated,7.1290981216071945,-17.157732984467224,-23.66131761397765,-10.100083080168288,pm25
2005,counterfactual,7.317329905248086,-17.157732984467224,-23.66131761397765,-10.100083080168288,pm25
2006,treated,7.06041048531485,-21.503248790963426,-29.604060732770453,-12.470236003488122,pm25
2006,counterfactual,7.302523433243142,-21.503248790963426,-29.604060732770453,-12.470236003488122,pm25
2007,treated,6.985160330272984,-20.944490722592057,-32.01283107638293,-8.074219796798799,pm25
2007,counterfactual,7.220180261455231,-20.944490722592057,-32.01283107638293,-8.074219796798799,pm25
2008,treated,6.866569653463288,-28.116806375885815,-38.38205624995087,-16.141415777157132,pm25
2008,counterfactual,7.196697348582626,-28.116806375885815,-38.38205624995087,-16.141415777157132,pm25
2009,treated,6.728775291521166,-32.38966498643032,-43.135417142126144,-19.613278232038024,pm25
