time,type,outcome,att,att_low,att_high,pollutant
1990,treated,12.432728194126106,-2.693961906417097,-12.807017462028325,8.59205378536496,so2
1990,counterfactual,12.460037336387405,-2.693961906417097,-12.807017462028325,8.59205378536496,so2
1991,treated,12.44622536153131,-0.5170652988731317,-7.315663997681732,6.780225479536561,so2
1991,counterfactual,12.451409428605908,-0.5170652988731317,-7.315663997681732,6.780225479536561,so2
1992,treated,12.3231870397581,-0.5875214876438828,-7.461846364344482,6.797472131124804,so2
1992,counterfactual,12.329079581609262,-0.5875214876438828,-7.461846364344482,6.797472131124804,so2
1993,treated,12.274971146724123,-2.572342190822219,-7.631328122145121,2.7637218681061837,so2
1993,counterfactual,12.301031201293188,-2.572342190822219,-7.631328122145121,2.7637218681061837,so2
1994,treated,12.225555894525309,3.438048813782979,-2.754722887972738,10.025188473438472,so2
1994,counterfactual,12.191753209203508,3.438048813782979,-2.754722887972738,10.025188473438472,so2
1995,treated,11.971228630830648,3.008453257506538,-3.5654572928673134,10.030505093265663,so2
1995,counterfactual,11.941587761495473,3.008453257506538,-3.5654572928673134,10.030505093265663,so2
1996,treated,11.945797310954017,3.4353871490985677,-2.0485921621893333,9.226396545512273,so2
1996,counterfactual,11.912020357932471,3.4353871490985677,-2.0485921621893333,9.226396545512273,so2
1997,treated,11.852318648609007,0.3707591184497261,-5.441644035310233,6.540444609420093,so2
1997,counterfactual,11.848617913599334,0.3707591184497261,-5.441644035310233,6.540444609420093,so2
1998,treated,11.748878800338176,0.12807069067526378,-5.072349724832681,5.613385680310312,so2
1998,counterfactual,11.747598912836974,0.12807069067526378,-5.072349724832681,5.613385680310312,so2
1999,treated,11.621329514017132,-2.2210562188004657,-6.885569071650477,2.6771226720361474,so2
1999,counterfactual,11.6437904449053,-2.2210562188004657,-6.885569071650477,2.6771226720361474,so2
2000,treated,11.475411588855525,-2.5354653278285677,-8.580094878137313,3.9088315197910006,so2
2000,counterfactual,11.501093209963871,-2.5354653278285677,-8.580094878137313,3.9088315197910006,so2
2001,treated,11.43543300761537,-1.127813906172448,-6.8783124441930354,4.977792387127589,so2
2001,counterfactual,11.446775227148656,-1.127813906172448,-6.8783124441930354,4.977792387127589,so2
2002,treated,11.358764002851323,-2.743255989134985,-8.947057369947387,3.883235207743474,so2
2002,counterfactual,11.386579861589839,-2.743255989134985,-8.947057369947387,3.883235207743474,so2
2003,treated,11.303033134182417,3.6141422729099704,-1.8366022936074256,9.3675517534749,so2
2003,counterfactual,11.267529491235782,3.6141422729099704,-1.8366022936074256,9.3675517534749,so2
2004,treated,11.218530286509587,0.6769479598462302,-5.763658507053748,7.557739296025967,so2
2004,counterfactual,11.21178361695459,0.6769479598462302,-5.763658507053748,7.557739296025967,so2
2005,treated,11.092142326303053,-1.7322259992928468,-18.844177042536504,18.98783174332892,so2
2005,counterfactual,11.10961637204365,-1.7322259992928468,-18.844177042536504,18.98783174332892,so2
2006,treated,11.031647775618312,-2.6956678936853273,-22.100514106821567,21.542946504671278,so2
2006,counterfactual,11.058974450216315,-2.6956678936853273,-22.100514106821567,21.542946504671278,so2
2007,treated,10.983870660468478,6.886306629211569,-16.28644659637166,36.47351092300741,so2
2007,counterfactual,10.91727513177347,6.886306629211569,-16.28644659637166,36.47351092300741,so2
